blueWins,blueFirstBlood,blueKills,blueAssists,blueTotalExperience,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redKills,redAssists,redTotalExperience,redCSPerMin,redGoldPerMin,bluePredWinrate,redPredWinrate,blueAvgPickrate,redAvgPickrate,blueCSDiff
1,1,7,11,19102,3274,1659,23.8,1786.5,1,1,17443,24.0,1459.1,0.4976272401272294,0.4848990879046904,0.13908290312784696,0.09033302965887237,-2.0
0,0,4,1,17213,-3414,-1141,21.0,1497.9,9,11,18354,22.9,1839.3,0.4677815749788152,0.498864058620263,0.054074299018119235,0.06269865370988968,-19.0
1,1,4,4,17896,-470,-187,22.4,1572.2,4,3,18083,24.2,1619.2,0.4851629228436341,0.4687330611280511,0.1714950905962142,0.07089786415629111,-18.0
0,0,3,3,16974,-1996,-1804,20.9,1501.5,7,13,18778,23.7,1701.1,0.488034123748948,0.4961004670202321,0.14371899989877518,0.11365522826196985,-28.0
1,1,10,8,20862,5228,3378,26.3,1973.3,2,2,17484,21.0,1450.5,0.5086269401928567,0.509025111860663,0.14705941896953134,0.10606336673752406,53.0
0,0,3,3,16888,-1975,-1345,20.3,1485.2,7,6,18233,21.8,1682.7,0.5066881343929174,0.4938809880539665,0.10776394371899987,0.10405911529507036,-15.0
1,1,5,11,17378,882,512,21.3,1628.2,4,3,16866,22.8,1540.0,0.4988028414388944,0.5085276511268605,0.10156898471505213,0.13529709484765667,-15.0
0,0,5,5,17924,-3155,-2773,18.8,1499.4,9,9,20697,21.9,1814.9,0.4855868931824524,0.5028026567585313,0.07873266524951919,0.13918412794817284,-31.0
1,1,11,15,19254,2526,1625,21.4,1860.6,6,4,17629,22.5,1608.0,0.5131484280197051,0.5110693283094514,0.06101832169247898,0.13819212470897865,-11.0
0,0,4,5,16945,-2835,-2821,20.3,1587.8,13,14,19766,20.9,1871.3,0.5091218278310349,0.5121487644417038,0.06435874076323514,0.08893612713837434,-6.0
0,0,4,3,17562,-1254,-567,23.8,1577.3,6,10,18129,23.1,1702.7,0.4985695527618311,0.514467402130799,0.0815872051827108,0.0788743799979755,7.0
0,0,4,4,19219,406,1283,23.8,1590.6,3,3,17936,22.0,1550.0,0.4968330631397671,0.4894173003199283,0.07336774977224415,0.07073590444376962,18.0
1,0,6,10,17223,-1020,493,20.8,1651.5,9,13,16730,19.7,1753.5,0.5078782120783774,0.5086553091254162,0.12035631136754732,0.11134730235853832,11.0
0,0,4,4,16047,-2472,-1067,20.4,1541.5,8,13,17114,22.1,1788.7,0.5140762963323053,0.5256011574794162,0.07834801093228061,0.1252353477072578,-17.0
1,0,8,9,17854,1260,-55,20.9,1717.8,6,3,17909,23.3,1591.8,0.5022704874092478,0.4907025812531245,0.10567871242028544,0.08822755339609271,-24.0
0,1,7,9,18982,1857,2015,22.8,1722.6,4,2,16967,20.2,1536.9,0.4975047006269048,0.507763729593641,0.11956675776900495,0.08739750986941999,26.0
0,1,8,13,17436,1320,-413,21.7,1747.4,6,11,17849,22.3,1615.4,0.5049671847457581,0.4951648876403288,0.13167324627998786,0.09909909909909913,-6.0
0,0,3,2,17974,-3282,-1647,23.3,1490.5,8,12,19621,22.5,1818.7,0.4985882568703876,0.4942852184542431,0.13244255491446502,0.07276040085028848,8.0
1,1,9,10,18076,2883,2111,22.8,1813.2,4,2,15965,22.7,1524.9,0.4948479100285949,0.4984237148322287,0.07553396092721935,0.07413705840672133,1.0
1,1,5,6,17406,1703,1696,21.8,1605.3,2,2,15710,20.6,1435.0,0.5119031578826327,0.4907992684736054,0.07676890373519588,0.09994938758983704,12.0
0,0,6,7,16989,608,-85,20.3,1643.8,4,4,17074,20.6,1583.0,0.5003834732724194,0.5008226215225984,0.07136349832979047,0.08245773863751392,-3.0
0,1,5,4,16355,71,-359,20.1,1563.4,4,4,16714,22.2,1556.3,0.4948214059543109,0.5105414376277698,0.15005567365117928,0.11798765057192025,-21.0
1,0,6,4,19076,275,872,20.4,1608.5,4,5,18204,22.3,1581.0,0.496745740916075,0.5021799737760889,0.12944630023281709,0.15392246178763033,-19.0
0,0,3,6,17082,-809,638,23.5,1498.1,4,7,16444,21.8,1579.0,0.5135879936113912,0.5113388961067801,0.10013159226642374,0.14467051320983906,17.0
0,0,2,2,19276,-2771,-1125,21.7,1542.1,8,5,20401,23.4,1819.2,0.491740098092291,0.4890964139038304,0.07006782062961839,0.11205587610081992,-17.0
0,1,5,4,17716,-1730,-1236,20.3,1566.5,6,6,18952,21.4,1739.5,0.4863390179527413,0.512763262487506,0.13728110132604515,0.11071970847251747,-11.0
0,0,7,5,19609,-904,1377,23.4,1752.8,9,9,18232,22.7,1843.2,0.4899974520865738,0.4973590648222345,0.1110233829334953,0.1608057495697945,7.0
0,0,3,3,16832,-1683,-1363,21.3,1503.2,6,6,18195,23.6,1671.5,0.5151283147136873,0.5098093354029928,0.06658568681040591,0.09812734082397004,-23.0
0,0,4,3,17362,-3025,-1833,22.2,1548.3,11,16,19195,21.3,1850.8,0.4839121067775887,0.4855050905679981,0.0963862739143638,0.10592165198906774,9.0
1,0,10,12,20118,3004,2300,23.1,1922.6,6,7,17818,18.5,1622.2,0.5144540642428131,0.5116719225380144,0.09460471707662718,0.11899989877517965,46.0
1,0,9,14,17806,1574,761,20.4,1694.5,6,6,17045,19.4,1537.1,0.522623374576796,0.4947380140797738,0.13782771535580526,0.1191213685595708,10.0
1,1,5,3,16493,-1036,-1423,23.3,1500.0,5,4,17916,22.1,1603.6,0.4845796904273566,0.5068776849004027,0.061301751189391636,0.04342544791982994,12.0
0,1,3,2,19090,16,433,25.2,1588.8,4,2,18657,24.3,1587.2,0.4986832596664362,0.5004351067813256,0.0772547828727604,0.13618787326652498,9.0
0,0,1,0,15498,-6386,-4210,18.7,1292.5,10,6,19708,24.7,1931.1,0.49028044180141,0.5032739865724137,0.049924081384755535,0.12944630023281709,-60.0
1,1,11,9,19703,5096,3310,25.1,1925.0,2,2,16393,19.6,1415.4,0.5085558108369486,0.497909563117012,0.1272598441137767,0.0980261160036441,55.0
1,1,8,5,18790,2756,1683,21.8,1835.5,4,5,17107,20.0,1559.9,0.5031557523761159,0.5095482585214619,0.10154873975098692,0.13296892398015994,18.0
1,0,2,2,16429,-977,-1025,18.0,1397.8,3,1,17454,21.8,1495.5,0.5007539596476704,0.4969906141525778,0.08126328575766778,0.07411681344265615,-38.0
0,0,5,8,17366,-808,-1655,20.6,1585.1,5,6,19021,24.1,1665.9,0.4820715836360564,0.5168357164804716,0.10592165198906774,0.12728008907784188,-35.0
0,0,7,5,17408,-1559,-407,20.9,1647.4,9,13,17815,20.6,1803.3,0.4871666163803835,0.4605945130846548,0.10158922967911732,0.06154469075817389,3.0
1,0,6,6,18284,544,75,21.3,1659.0,8,7,18209,18.2,1604.6,0.5028181243700738,0.5096918250183842,0.05399331916185849,0.08725579512096365,31.0
1,1,5,2,18634,1381,1017,21.7,1573.7,2,1,17617,21.2,1435.6,0.4933998234508435,0.5089385534782079,0.0987144447818605,0.10707561494078348,5.0
1,1,5,5,19634,2031,1449,24.8,1699.0,3,5,18185,21.0,1495.9,0.5210637676106238,0.5173622816547859,0.11736005668589936,0.09089988865269764,38.0
0,0,3,2,19210,131,370,24.6,1529.7,3,1,18840,22.7,1516.6,0.4854029934261645,0.4960650380593569,0.10586091709687216,0.1359449336977427,19.0
0,0,4,4,17696,-2699,-2749,22.4,1565.1,10,11,20445,20.1,1835.0,0.5100085843156623,0.5067157153526068,0.10195363903229072,0.13090393764551067,23.0
0,1,5,7,16746,-1672,-2698,18.1,1558.7,7,6,19444,21.8,1725.9,0.5055073546991247,0.4921112823552013,0.07278064581435369,0.0972972972972973,-37.0
1,1,10,11,18131,1201,316,21.3,1777.7,6,5,17815,23.4,1657.6,0.5137098458910149,0.5040340283154621,0.055774875999595096,0.11677295272800887,-21.0
1,1,7,5,18407,-108,59,22.2,1642.6,5,4,18348,24.7,1653.4,0.4983738316159783,0.5212722547069798,0.09249924081384757,0.12776596821540642,-25.0
0,0,10,11,19575,4633,2269,23.6,2027.8,7,6,17306,18.2,1564.5,0.5113447718189732,0.4929805818461202,0.14865877113068124,0.06403482133819212,54.0
0,0,2,0,16437,-2262,-1391,19.1,1379.1,7,4,17828,21.8,1605.3,0.5083229203397729,0.5203653253212964,0.0814050005061241,0.09666970341127644,-27.0
0,0,6,5,17667,-49,500,20.8,1650.5,7,10,17167,20.7,1655.4,0.4971240033590714,0.4973347099407519,0.12592367648547426,0.100374531835206,1.0
1,1,6,4,19610,1687,1089,22.9,1727.7,4,5,18521,23.2,1559.0,0.5008739612800245,0.5058263498073833,0.16671727907682965,0.14175523838445184,-3.0
1,1,9,10,19659,3933,2922,22.9,1826.9,1,1,16737,23.3,1433.6,0.5129694945887008,0.4643438297183177,0.05528899686203057,0.0987346897459257,-4.0
0,0,4,3,15959,-4061,-4397,20.3,1416.6,10,6,20356,22.4,1822.7,0.4885622865697332,0.4815877981365054,0.13367749772244153,0.08865269764146169,-21.0
0,0,6,7,16280,-4920,-3280,18.8,1545.6,12,11,19560,24.0,2037.6,0.5124880282852475,0.4866766259046238,0.09551574045956067,0.09907885413503392,-52.0
0,0,4,2,17773,-1705,-1839,21.0,1518.0,5,1,19612,22.7,1688.5,0.4968332294315758,0.4969323256638864,0.12778621317947164,0.09104160340115396,-17.0
0,1,7,8,16814,105,-1547,21.2,1617.9,8,5,18361,20.0,1607.4,0.4776109576209021,0.4887783925172784,0.14361777507844922,0.10741977932989168,12.0
1,0,3,3,18490,-554,521,23.3,1602.6,5,6,17969,23.4,1658.0,0.4923061838113284,0.4923276364157972,0.09517157607045247,0.12315011640854336,-1.0
0,1,4,4,17145,-1037,-1577,19.8,1485.0,5,5,18722,24.1,1588.7,0.4988779507843191,0.4977842160850353,0.08735701994128961,0.08442150015183722,-43.0
0,1,9,7,18573,-1144,480,20.2,1734.7,8,11,18093,19.9,1849.1,0.5105219077778826,0.5019664312101497,0.13979147687012855,0.07772041704625975,3.0
1,1,5,6,17591,1173,953,20.0,1588.7,4,3,16638,18.6,1471.4,0.5160689223545754,0.4993757566863084,0.11574045956068428,0.09837028039275232,14.0
0,1,8,11,19449,3194,2534,23.2,1739.9,2,2,16915,20.8,1420.5,0.5105527464302481,0.4782996321352389,0.09851199514120863,0.14572325134122885,24.0
0,1,2,1,16629,-2622,-1136,20.4,1382.8,7,7,17765,19.2,1645.0,0.478654312188984,0.5127749516046023,0.09201336167628303,0.14661402976009716,12.0
1,1,6,4,19110,1151,470,24.2,1664.5,4,3,18640,20.5,1549.4,0.4909454872052458,0.4803227304976378,0.14790970746026927,0.08549448324729222,37.0
1,1,6,8,17200,1463,1490,20.0,1624.8,4,8,15710,16.9,1478.5,0.4959795877086546,0.5003849395318422,0.10086041097277053,0.12086243546917705,31.0
0,0,4,1,18337,-1038,-1307,22.1,1531.0,6,5,19644,22.6,1634.8,0.5030574362057456,0.5004298454263744,0.13319161858487702,0.10847251746128153,-5.0
1,1,8,7,17242,1424,1060,21.2,1678.4,4,5,16182,18.0,1536.0,0.5171817363248007,0.5068468825202159,0.1451361473833384,0.095657455208017,32.0
1,0,13,18,18951,527,721,23.2,1903.2,9,5,18230,21.6,1850.5,0.4969133797876406,0.4566767111408882,0.09181091203563116,0.09703411276444984,16.0
0,0,7,12,18342,1807,932,24.2,1751.8,6,9,17410,19.8,1571.1,0.4810017413520047,0.4998520311705516,0.10201437392448627,0.11976920740965688,44.0
0,1,11,12,20326,2856,1262,25.6,1897.6,4,6,19064,21.0,1612.0,0.5005659735314102,0.5161239707520661,0.11355400344164387,0.1047271991092216,46.0
0,0,6,10,16617,-964,-2454,20.4,1614.3,6,3,19071,24.1,1710.7,0.5089701340043845,0.5079101982541844,0.07069541451563922,0.10314809191213684,-37.0
0,0,7,6,17111,-178,524,19.9,1586.8,8,6,16587,17.8,1604.6,0.4886401385585487,0.5226777588482711,0.11237979552586293,0.09962546816479402,21.0
1,0,9,7,18162,705,192,23.5,1797.7,8,8,17970,20.7,1727.2,0.4950985189241609,0.4831601568988506,0.12821135742484058,0.11323008401660087,28.0
1,0,10,14,18159,908,306,20.8,1813.8,10,16,17853,21.0,1723.0,0.4934686820341908,0.4883351803410223,0.058447211256200025,0.14323312076121067,-2.0
1,0,7,12,19864,3558,3243,26.1,1802.5,2,3,16621,22.0,1446.7,0.5050830051729658,0.5055032658283617,0.1072173296892398,0.12124708978641564,41.0
0,0,1,0,17769,-1299,-49,24.1,1462.5,6,3,17818,21.8,1592.4,0.4901121127376481,0.4956036027374221,0.12408138475554205,0.1524850693390019,23.0
1,0,5,7,17113,-1763,-1864,20.1,1575.2,8,6,18977,24.8,1751.5,0.4961106221790489,0.4899301300046367,0.1369976718291325,0.1496507743698755,-47.0
1,0,10,12,19565,2547,2189,23.2,1848.0,4,4,17376,24.7,1593.3,0.5087771951488278,0.5011192146318768,0.09685190808786312,0.10806761817997776,-15.0
0,0,3,2,16206,-3685,-3119,21.0,1499.5,10,13,19325,20.0,1868.0,0.4924922501101582,0.508438309550592,0.07500759186152445,0.13859702399028245,10.0
0,1,7,3,15827,-3689,-4682,19.4,1565.5,11,7,20509,21.6,1934.4,0.4797331423206837,0.5023925513705136,0.10339103148091912,0.1241623646118028,-22.0
0,1,3,2,18590,-764,803,23.6,1556.2,5,6,17787,23.3,1632.6,0.4987950012650974,0.5250065871402081,0.10411985018726592,0.07037149509059623,3.0
1,1,9,5,19137,3037,2694,22.3,1713.9,2,2,16443,21.3,1410.2,0.5023708633116837,0.4926387871549748,0.12393967000708572,0.1491041603401154,10.0
1,1,7,6,18820,3545,2162,25.7,1922.9,7,10,16658,14.5,1568.4,0.5075347488372934,0.4880925410969166,0.11932381820022273,0.08051422208725577,112.0
0,0,7,10,19060,-1031,-394,20.9,1697.2,7,7,19454,25.5,1800.3,0.4958065800132042,0.5078670423331149,0.10594189695313293,0.1646320477781152,-46.0
0,0,5,6,18383,-1796,-749,21.3,1624.9,10,15,19132,21.4,1804.5,0.5132956327602343,0.4891222781269639,0.15023787832776594,0.08510982893005366,-1.0
1,1,5,9,17645,1626,747,24.7,1641.5,4,5,16898,20.3,1478.9,0.4974857249061232,0.4914294529941186,0.11758275129061645,0.16347808482639942,44.0
1,0,6,10,19837,832,1330,25.0,1801.2,8,11,18507,18.6,1718.0,0.512397165659278,0.5079090337611831,0.1485980362384857,0.12831258224516653,64.0
1,0,11,11,20668,2750,2647,24.2,1929.4,6,9,18021,20.3,1654.4,0.4952690011221989,0.5073271939037168,0.13102540742990182,0.09164895232310964,39.0
0,0,5,4,17243,-1524,-827,22.7,1538.3,8,11,18070,18.6,1690.7,0.4776655885294082,0.5085378305483307,0.119465532948679,0.09733778722542767,41.0
0,1,6,2,17401,-1370,-875,22.4,1577.7,8,9,18276,21.0,1714.7,0.483878729082051,0.4989235456967691,0.12418260957586802,0.08986739548537301,14.0
0,0,4,4,17323,-1506,-412,20.9,1480.5,6,7,17735,23.1,1631.1,0.5083179841111224,0.5104404160054442,0.07261868610183217,0.12290717683976113,-22.0
0,0,6,2,16787,-1101,-718,19.9,1524.4,7,5,17505,21.2,1634.5,0.4979588619502479,0.4955198447852148,0.14835509666970342,0.12306913655228265,-13.0
0,0,8,7,19195,2774,2207,25.2,1757.4,3,2,16988,22.5,1480.0,0.5089236657782935,0.4909396066031466,0.19117319566757768,0.10551675270776396,27.0
0,0,8,9,17831,-1806,-588,22.2,1665.5,11,13,18419,21.5,1846.1,0.504632110302481,0.4830446800194764,0.0898876404494382,0.11574045956068428,7.0
0,0,6,8,18370,1265,1248,24.8,1685.5,4,4,17122,20.7,1559.0,0.4741908060442324,0.5055357973928476,0.15355805243445692,0.10059722643992304,41.0
1,0,6,4,16995,-4443,-4140,20.0,1578.6,14,9,21135,22.7,2022.9,0.5071646339223362,0.5064886836272947,0.11106387286162568,0.09978742787731552,-27.0
0,0,3,1,19080,-927,967,23.3,1514.3,5,7,18113,21.6,1607.0,0.5147978157760548,0.514735652854234,0.08816681850389715,0.08877416742585283,17.0
1,1,9,9,18904,1425,728,22.1,1730.9,5,3,18176,20.8,1588.4,0.48890830261201,0.5000139419435743,0.09956473327259843,0.17268954347606033,13.0
1,0,6,6,19684,1177,1161,21.1,1641.6,4,2,18523,20.4,1523.9,0.5035638958727324,0.4979305087352052,0.08039275230286466,0.09237777102945642,7.0
1,1,2,2,17812,-1586,410,23.1,1522.2,7,14,17402,21.1,1680.8,0.513010064450788,0.4828516464614391,0.15410466646421705,0.11507237574653305,20.0
0,0,5,3,17629,-2896,-2081,23.2,1552.6,10,6,19710,23.6,1842.2,0.5010392116125724,0.4964731448781981,0.1422613624860816,0.1449539427067517,-4.0
1,0,12,10,15938,905,1054,14.3,1759.7,9,9,14884,18.1,1669.2,0.5079904994335992,0.5047133288203126,0.09272193541856463,0.2046765866990586,-38.0
0,1,9,17,14815,-3887,-3392,18.7,1683.4,17,21,18207,21.1,2072.1,0.4779393925374594,0.5132697476231602,0.14430610385666565,0.08498835914566252,-24.0
1,1,12,12,19575,3413,2984,20.2,1905.8,6,7,16591,21.0,1564.5,0.5161739986983441,0.4986916560158895,0.12859601174207916,0.06917704221075008,-8.0
0,1,7,5,18034,-256,-1580,22.8,1680.6,9,7,19614,23.0,1706.2,0.5118865485971756,0.5060000833036822,0.07915780949488814,0.12717886425751593,-2.0
1,1,7,7,17554,-1820,-1412,22.7,1664.3,10,11,18966,23.1,1846.3,0.5089675981375303,0.4865764783141359,0.0911833181496103,0.09794513614738334,-4.0
1,1,6,12,17737,625,-534,22.4,1618.9,4,4,18271,21.7,1556.4,0.4992161071116909,0.4876521833571609,0.07693086344771738,0.11484968114181596,7.0
0,0,2,1,17286,-3628,-2009,19.6,1409.5,6,4,19295,26.6,1772.3,0.4938795061479826,0.4994808934678491,0.07885413503391032,0.09559672031582143,-70.0
0,1,5,7,17544,769,480,21.7,1680.4,5,6,17064,23.3,1603.5,0.5211793877790787,0.4955349539403414,0.08632452677396499,0.10268245773863753,-16.0
0,0,8,8,18192,-576,-682,22.9,1730.5,8,6,18874,19.8,1788.1,0.4870063823941296,0.508800848213278,0.10679218544387084,0.09845126024901303,31.0
0,0,3,2,16806,-3900,-3550,21.3,1453.9,9,8,20356,25.5,1843.9,0.4919993055828749,0.4920905397839629,0.14015588622330194,0.1014070250025306,-42.0
1,0,9,10,18299,-7,-231,19.2,1753.0,8,8,18530,20.9,1753.7,0.5000670060666298,0.496787803790926,0.0536086648446199,0.09747950197388396,-17.0
1,1,10,10,19562,1683,1433,20.7,1843.1,7,5,18129,23.1,1674.8,0.4936572634084866,0.499048016195932,0.10428180989978744,0.14635084522724973,-24.0
0,0,3,2,16550,-4782,-3408,19.3,1403.2,10,11,19958,24.5,1881.4,0.5029534450168243,0.4896553004880652,0.0933292843405203,0.15380099200323918,-52.0
1,1,9,11,17810,636,-214,20.5,1786.9,7,9,18024,21.5,1723.3,0.4941813683026484,0.4840102498545127,0.12011337179876505,0.11624658366231402,-10.0
1,0,7,6,16174,-3421,-2624,18.3,1597.4,14,12,18798,21.9,1939.5,0.5278313340338405,0.487420272032069,0.11869622431420185,0.1767587812531633,-36.0
1,0,5,6,18920,976,1599,24.0,1610.8,3,5,17321,23.0,1513.2,0.5056235225887341,0.5027554266381299,0.1084725174612815,0.13213888045348718,10.0
0,0,6,6,17297,-211,-1305,21.2,1630.2,7,7,18602,21.1,1651.3,0.4726155771734912,0.5189937535365983,0.11430306711205587,0.08282214799068732,1.0
1,0,7,6,17603,1221,462,21.5,1675.0,5,5,17141,19.7,1552.9,0.494062338045669,0.5053986970463887,0.08342949691264298,0.09069743901204576,18.0
1,0,7,8,18669,2037,1291,22.6,1650.6,1,0,17378,21.7,1446.9,0.5049607232441882,0.4985372814454543,0.10644802105476264,0.12968923980159935,9.0
1,1,6,11,17937,817,-94,24.1,1638.9,3,3,18031,22.9,1557.2,0.5148798731761366,0.4994811153689359,0.1507642473934609,0.12422309950399835,12.0
1,1,4,4,18295,-137,-351,21.5,1576.0,4,1,18646,22.7,1589.7,0.4939548593144549,0.4944828452101373,0.08191112460775382,0.10673145055167528,-12.0
1,1,4,4,16820,-1539,-1497,22.6,1517.6,7,12,18317,20.5,1671.5,0.4927389176601921,0.5077474195481633,0.0864662415224213,0.08442150015183725,21.0
0,0,5,4,16908,-1707,-1286,19.1,1519.6,7,10,18194,21.6,1690.3,0.4874062421577398,0.5020760617499755,0.11397914768701285,0.10144751493066102,-25.0
1,0,6,2,17537,-556,-235,22.8,1625.0,9,13,17772,14.3,1680.6,0.5102432362348391,0.4939861250843111,0.09828930053649156,0.07662718898673955,85.0
1,1,9,15,16779,-146,-717,19.9,1654.1,7,8,17496,22.5,1668.7,0.481452453292101,0.4807983998737481,0.07504808178965483,0.14015588622330194,-26.0
1,1,12,9,19205,4083,2884,22.7,1865.7,4,1,16321,19.1,1457.4,0.5028286285238531,0.5218832873595989,0.07306407531126632,0.1422816074501468,36.0
1,0,5,6,19105,1389,1418,22.3,1687.3,5,7,17687,22.6,1548.4,0.4861760040715757,0.5119420894799804,0.10405911529507036,0.13209839052535682,-3.0
0,0,3,3,15898,-890,-528,21.1,1438.3,4,5,16426,20.8,1527.3,0.4909038249386756,0.5000375160698823,0.09505010628606134,0.12837331713736205,3.0
0,1,4,5,15196,-2519,-1095,19.2,1442.0,9,15,16291,19.4,1693.9,0.4868448161035364,0.5386099523589344,0.06699058609170969,0.08745824476161554,-2.0
0,0,4,4,15031,-4440,-4020,18.3,1472.0,15,14,19051,20.1,1916.0,0.485278611731867,0.4916328520467956,0.07848972568073692,0.10798663832371698,-18.0
1,1,7,7,19761,1140,705,25.1,1740.6,6,4,19056,19.0,1626.6,0.487977868061552,0.4759717112163151,0.159246887336775,0.09221581131693493,61.0
0,1,5,2,15974,-1656,-1832,17.2,1521.0,7,3,17806,21.9,1686.6,0.4915527215146394,0.513321416295753,0.06128150622532645,0.07326652495191821,-47.0
1,0,10,16,15840,2171,-261,19.2,1727.2,5,6,16101,19.9,1510.1,0.4977986279621894,0.5063455396067758,0.1319971657050309,0.1805445895333536,-7.0
1,1,12,15,19257,3841,2484,20.6,1935.8,4,3,16773,21.6,1551.7,0.5230561120757663,0.5022604550668973,0.0543374835509667,0.15568377366130176,-10.0
1,0,4,5,16360,-885,-2172,23.2,1685.5,11,15,18532,21.6,1774.0,0.5062177561007196,0.4892852831940086,0.14343557040186256,0.11557849984816278,16.0
0,0,3,4,16256,-2752,-2286,19.1,1520.9,8,9,18542,24.1,1796.1,0.4926012781336359,0.4955114795167606,0.08954347606033003,0.12993217937038165,-50.0
1,1,13,22,17935,2081,466,20.7,1954.2,9,11,17469,20.0,1746.1,0.5062992997193237,0.5051117261292773,0.18040287478489728,0.1222188480615447,7.0
0,1,4,4,17321,453,-19,23.2,1526.7,3,3,17340,20.9,1481.4,0.5033100437766448,0.5104585533597452,0.07668792387893511,0.09124405304180586,23.0
0,1,3,3,17194,830,-1002,22.4,1524.3,1,1,18196,22.0,1441.3,0.5001994092638121,0.5204815937738813,0.07308432027533153,0.14667476465229273,4.0
0,0,8,3,17234,94,-445,20.3,1621.4,8,6,17679,16.8,1612.0,0.4829144456372755,0.4963588899259013,0.11505213078246786,0.13100516246583666,35.0
0,0,8,12,18227,-722,891,17.8,1597.6,6,6,17336,23.2,1669.8,0.5134541039385992,0.4887136739334442,0.11671221783581336,0.15311266322502276,-54.0
0,0,6,10,17632,-1491,-799,23.0,1655.7,7,11,18431,22.2,1804.8,0.5045144393329548,0.4930481465938582,0.12159125417552386,0.14961028444174512,8.0
0,0,6,3,16953,-3109,-1745,19.8,1614.2,14,16,18698,20.1,1925.1,0.530917402499258,0.5046633306395336,0.08156696021864562,0.08762020447413706,-3.0
0,1,7,9,18708,537,-477,23.0,1798.4,11,11,19185,17.8,1744.7,0.5004065337158304,0.5189064886722508,0.1267132300840166,0.10391740054661404,52.0
1,0,13,10,21588,4079,5568,22.2,2003.8,5,6,16020,20.8,1595.9,0.491318843433248,0.4999110639581955,0.0952930458548436,0.13345480311772445,14.0
1,0,10,13,18463,4006,2081,21.3,1957.1,5,6,16382,21.0,1556.5,0.4862919190901078,0.4947473035101715,0.1615143233120761,0.14473124810203464,3.0
0,1,3,4,15128,-3582,-5395,20.0,1455.7,10,10,20523,24.6,1813.9,0.4758104047161288,0.5071712656813331,0.1104767689037352,0.09585990484866888,-46.0
1,0,6,5,18567,-355,233,20.5,1602.9,6,5,18334,22.4,1638.4,0.5019473853432153,0.49885081203205695,0.14159327867193036,0.10191314910416034,-19.0
1,1,7,8,16741,3464,994,20.7,1805.3,6,6,15747,17.8,1458.9,0.4970865729862844,0.494073853844419,0.1393258426966292,0.09290414009515133,29.0
1,1,9,9,18905,2217,2183,22.5,1809.8,5,3,16722,22.9,1588.1,0.4988958705868097,0.4976993436255143,0.1077841886830651,0.10946452070047576,-4.0
1,1,8,9,19519,3049,1511,23.5,1834.3,3,2,18008,23.4,1529.4,0.498493915907678,0.5077734645226775,0.04767689037351958,0.06952120659985828,1.0
1,0,5,4,17998,-305,-474,19.8,1559.6,6,7,18472,19.9,1590.1,0.5031140774678582,0.502067912806633,0.060977831764348615,0.05733373823261464,-1.0
0,0,4,6,17882,1325,479,22.9,1581.2,2,1,17403,21.8,1448.7,0.4854646894170703,0.5141227757903476,0.12412187468367245,0.1126429800587104,11.0
