blueWins,blueWardsDestroyed,blueFirstBlood,blueKills,blueAssists,blueDragons,blueHeralds,blueTowersDestroyed,blueAvgLevel,blueTotalJungleMinionsKilled,blueGoldDiff,blueExperienceDiff,blueCSPerMin,blueGoldPerMin,redWardsDestroyed,redKills,redAssists,redDragons,redHeralds,redTowersDestroyed,redAvgLevel,redTotalJungleMinionsKilled,redCSPerMin,redGoldPerMin,blueVisionScore,redVisionScore
0,5,1,8,13,1,0,0,6.8,53,1320,-413,21.7,1747.4,3,6,11,0,0,0,6.8,40,22.3,1615.4,105,65
0,5,0,3,2,1,0,0,6.8,52,-3282,-1647,23.3,1490.5,3,8,12,0,0,0,7.4,52,22.5,1818.7,18,18
1,7,1,9,10,1,0,0,7.0,40,2883,2111,22.8,1813.2,4,4,2,0,0,0,6.2,36,22.7,1524.9,22,21
1,4,1,5,6,1,1,0,6.8,51,1703,1696,21.8,1605.3,2,2,2,0,0,0,6.4,48,20.6,1435.0,17,15
0,3,0,6,7,0,0,0,6.8,32,608,-85,20.3,1643.8,2,4,4,1,0,0,6.8,44,20.6,1583.0,12,19
0,2,1,5,4,0,0,0,6.8,45,71,-359,20.1,1563.4,1,4,4,1,0,0,6.8,38,22.2,1556.3,15,14
1,2,0,6,4,0,0,0,7.4,56,275,872,20.4,1608.5,1,4,5,1,0,0,7.2,62,22.3,1581.0,40,15
0,3,0,3,6,0,0,0,6.8,52,-809,638,23.5,1498.1,2,4,7,1,1,0,6.8,50,21.8,1579.0,24,17
0,4,0,2,2,1,0,0,7.2,84,-2771,-1125,21.7,1542.1,2,8,5,0,0,0,7.4,64,23.4,1819.2,12,14
0,2,1,5,4,0,1,0,6.8,48,-1730,-1236,20.3,1566.5,4,6,6,1,0,0,7.0,67,21.4,1739.5,20,40
0,3,0,7,5,0,1,0,7.2,68,-904,1377,23.4,1752.8,1,9,9,1,0,0,7.0,40,22.7,1843.2,11,18
0,2,0,3,3,0,1,0,6.6,48,-1683,-1363,21.3,1503.2,3,6,6,1,0,0,7.0,44,23.6,1671.5,18,36
0,3,0,4,3,0,0,0,6.8,48,-3025,-1833,22.2,1548.3,0,11,16,1,0,0,7.2,39,21.3,1850.8,28,41
1,1,0,10,12,0,0,0,7.4,44,3004,2300,23.1,1922.6,2,6,7,0,0,0,7.0,39,18.5,1622.2,36,16
1,3,0,9,14,1,0,0,6.8,36,1574,761,20.4,1694.5,2,6,6,0,0,0,6.8,54,19.4,1537.1,18,17
1,2,1,5,3,0,0,0,6.6,16,-1036,-1423,23.3,1500.0,1,5,4,0,0,0,7.0,44,22.1,1603.6,12,19
0,4,1,3,2,0,1,0,7.4,60,16,433,25.2,1588.8,4,4,2,1,0,0,7.0,49,24.3,1587.2,18,39
0,0,0,1,0,0,0,0,6.4,32,-6386,-4210,18.7,1292.5,1,10,6,0,1,1,7.2,56,24.7,1931.1,41,12
1,4,1,11,9,0,0,0,7.6,48,5096,3310,25.1,1925.0,3,2,2,0,0,0,6.4,53,19.6,1415.4,14,15
1,1,1,8,5,1,0,1,7.0,54,2756,1683,21.8,1835.5,5,4,5,0,0,0,6.8,57,20.0,1559.9,19,13
1,2,0,2,2,0,1,0,6.6,44,-977,-1025,18.0,1397.8,4,3,1,0,0,0,6.8,56,21.8,1495.5,15,12
0,1,0,5,8,0,0,0,6.8,56,-808,-1655,20.6,1585.1,6,5,6,0,0,0,7.2,44,24.1,1665.9,16,38
0,0,0,7,5,0,0,0,6.6,50,-1559,-407,20.9,1647.4,4,9,13,1,0,0,6.8,53,20.6,1803.3,14,22
1,0,0,6,6,0,0,0,7.0,49,544,75,21.3,1659.0,1,8,7,0,0,0,7.0,44,18.2,1604.6,18,12
1,4,1,5,2,1,1,0,7.0,53,1381,1017,21.7,1573.7,3,2,1,0,0,0,7.0,60,21.2,1435.6,22,16
1,2,1,5,5,0,0,0,7.4,54,2031,1449,24.8,1699.0,1,3,5,1,0,0,7.0,68,21.0,1495.9,37,15
0,4,0,3,2,1,0,0,7.0,56,131,370,24.6,1529.7,2,3,1,0,0,0,7.2,64,22.7,1516.6,14,20
0,2,0,4,4,0,1,0,7.0,53,-2699,-2749,22.4,1565.1,2,10,11,1,0,0,7.4,54,20.1,1835.0,16,30
0,0,1,5,7,1,0,0,6.8,63,-1672,-2698,18.1,1558.7,0,7,6,0,0,0,7.4,76,21.8,1725.9,17,14
1,3,1,10,11,1,0,0,7.2,42,1201,316,21.3,1777.7,4,6,5,0,0,0,6.8,44,23.4,1657.6,19,18
1,3,1,7,5,1,1,0,7.0,55,-108,59,22.2,1642.6,4,5,4,0,0,0,6.8,44,24.7,1653.4,29,14
0,0,0,10,11,0,0,1,7.2,58,4633,2269,23.6,2027.8,1,7,6,1,0,0,6.6,45,18.2,1564.5,12,20
0,4,0,2,0,0,0,0,6.6,62,-2262,-1391,19.1,1379.1,3,7,4,1,0,0,6.8,48,21.8,1605.3,18,18
0,3,0,6,5,0,0,0,7.0,70,-49,500,20.8,1650.5,2,7,10,1,0,0,6.8,45,20.7,1655.4,24,17
1,2,1,6,4,1,0,0,7.2,54,1687,1089,22.9,1727.7,3,4,5,0,1,0,7.2,56,23.2,1559.0,18,36
1,3,1,9,10,1,1,0,7.2,68,3933,2922,22.9,1826.9,3,1,1,0,0,0,6.4,40,23.3,1433.6,122,14
0,4,0,4,3,1,0,0,6.6,41,-4061,-4397,20.3,1416.6,2,10,6,0,0,0,7.4,72,22.4,1822.7,12,16
0,2,0,6,7,0,0,0,6.6,42,-4920,-3280,18.8,1545.6,1,12,11,0,1,1,7.4,62,24.0,2037.6,52,15
0,2,0,4,2,0,0,0,7.0,52,-1705,-1839,21.0,1518.0,4,5,1,0,0,0,7.2,62,22.7,1688.5,19,11
0,4,1,7,8,1,0,0,6.8,46,105,-1547,21.2,1617.9,5,8,5,0,1,0,7.0,42,20.0,1607.4,32,24
1,0,0,3,3,0,0,0,7.0,57,-554,521,23.3,1602.6,1,5,6,1,0,0,6.8,44,23.4,1658.0,14,11
0,5,1,4,4,0,0,0,6.8,53,-1037,-1577,19.8,1485.0,4,5,5,1,0,0,7.0,44,24.1,1588.7,19,18
0,2,1,9,7,0,1,0,7.0,62,-1144,480,20.2,1734.7,5,8,11,1,0,1,7.0,45,19.9,1849.1,16,13
1,0,1,5,6,0,0,0,6.8,32,1173,953,20.0,1588.7,1,4,3,1,0,0,6.6,63,18.6,1471.4,36,12
0,2,1,8,11,0,0,0,7.0,44,3194,2534,23.2,1739.9,3,2,2,1,0,0,6.6,51,20.8,1420.5,18,13
0,3,1,2,1,1,0,0,6.6,38,-2622,-1136,20.4,1382.8,0,7,7,0,0,0,6.8,36,19.2,1645.0,13,12
1,3,1,6,4,1,0,0,7.2,52,1151,470,24.2,1664.5,2,4,3,0,1,0,7.0,50,20.5,1549.4,15,15
1,4,1,6,8,1,1,0,6.8,52,1463,1490,20.0,1624.8,2,4,8,0,0,0,6.6,52,16.9,1478.5,50,48
0,2,0,4,1,0,0,0,7.0,52,-1038,-1307,22.1,1531.0,2,6,5,1,1,0,7.2,66,22.6,1634.8,14,15
1,2,1,8,7,0,1,0,6.6,40,1424,1060,21.2,1678.4,4,4,5,0,0,0,6.4,61,18.0,1536.0,17,13
1,1,0,13,18,1,0,0,7.4,44,527,721,23.2,1903.2,4,9,5,0,0,0,7.0,63,21.6,1850.5,18,12
0,5,0,7,12,0,0,0,7.2,46,1807,932,24.2,1751.8,4,6,9,1,1,0,6.8,60,19.8,1571.1,17,52
0,6,1,11,12,0,1,0,7.4,43,2856,1262,25.6,1897.6,0,4,6,1,0,0,7.2,72,21.0,1612.0,43,16
0,1,0,6,10,1,0,0,6.6,56,-964,-2454,20.4,1614.3,1,6,3,0,1,0,7.0,56,24.1,1710.7,12,13
0,2,0,7,6,0,1,0,7.0,51,-178,524,19.9,1586.8,7,8,6,1,0,0,6.8,47,17.8,1604.6,20,42
1,3,0,9,7,1,0,0,7.0,41,705,192,23.5,1797.7,0,8,8,0,0,0,7.0,44,20.7,1727.2,18,16
1,0,0,10,14,1,0,0,7.0,55,908,306,20.8,1813.8,1,10,16,0,0,0,7.0,44,21.0,1723.0,16,15
1,2,0,7,12,1,1,0,7.2,68,3558,3243,26.1,1802.5,0,2,3,0,0,0,6.8,56,22.0,1446.7,14,25
0,6,0,1,0,0,0,0,6.8,56,-1299,-49,24.1,1462.5,1,6,3,1,0,0,7.0,47,21.8,1592.4,12,53
1,4,0,5,7,1,0,0,6.6,48,-1763,-1864,20.1,1575.2,2,8,6,0,0,0,7.2,40,24.8,1751.5,16,19
1,0,0,10,12,0,0,0,7.4,64,2547,2189,23.2,1848.0,1,4,4,0,0,0,6.6,41,24.7,1593.3,15,12
0,3,0,3,2,1,0,0,6.6,53,-3685,-3119,21.0,1499.5,3,10,13,0,1,0,7.4,67,20.0,1868.0,13,20
0,13,1,7,3,0,0,0,6.4,25,-3689,-4682,19.4,1565.5,2,11,7,1,0,0,7.2,59,21.6,1934.4,83,35
0,4,1,3,2,0,0,0,7.2,73,-764,803,23.6,1556.2,4,5,6,1,1,0,6.8,46,23.3,1632.6,17,33
1,3,1,9,5,0,0,0,7.2,51,3037,2694,22.3,1713.9,2,2,2,1,0,0,6.6,41,21.3,1410.2,16,14
1,4,1,7,6,0,0,1,7.2,62,3545,2162,25.7,1922.9,3,7,10,1,0,0,6.6,36,14.5,1568.4,14,19
0,2,0,7,10,1,0,0,7.2,48,-1031,-394,20.9,1697.2,4,7,7,0,0,0,7.4,60,25.5,1800.3,14,16
0,1,0,5,6,0,0,0,7.0,59,-1796,-749,21.3,1624.9,2,10,15,1,0,0,7.0,44,21.4,1804.5,17,16
1,6,1,5,9,0,0,0,6.8,37,1626,747,24.7,1641.5,2,4,5,1,0,0,7.0,51,20.3,1478.9,16,17
1,1,0,6,10,0,1,0,7.2,70,832,1330,25.0,1801.2,1,8,11,1,0,0,7.0,48,18.6,1718.0,40,12
1,0,0,11,11,1,1,0,7.4,52,2750,2647,24.2,1929.4,2,6,9,0,0,0,7.0,52,20.3,1654.4,16,14
0,1,0,5,4,0,1,0,6.8,28,-1524,-827,22.7,1538.3,3,8,11,0,0,0,7.0,39,18.6,1690.7,16,11
0,4,1,6,2,1,0,0,6.6,53,-1370,-875,22.4,1577.7,2,8,9,0,0,0,7.0,36,21.0,1714.7,16,20
0,3,0,4,4,0,0,0,6.6,43,-1506,-412,20.9,1480.5,3,6,7,1,0,0,7.0,44,23.1,1631.1,14,17
0,5,0,6,2,0,0,0,6.6,52,-1101,-718,19.9,1524.4,4,7,5,1,1,0,7.0,40,21.2,1634.5,13,17
0,4,0,8,7,0,1,0,7.2,44,2774,2207,25.2,1757.4,4,3,2,1,0,0,6.6,47,22.5,1480.0,18,15
0,0,0,8,9,0,0,0,7.0,44,-1806,-588,22.2,1665.5,3,11,13,1,1,0,7.0,55,21.5,1846.1,24,13
0,5,0,6,8,1,0,0,7.0,44,1265,1248,24.8,1685.5,5,4,4,0,1,0,6.8,52,20.7,1559.0,12,16
1,3,0,6,4,0,0,0,6.6,46,-4443,-4140,20.0,1578.6,3,14,9,1,0,0,7.6,66,22.7,2022.9,17,16
0,3,0,3,1,0,0,0,7.2,59,-927,967,23.3,1514.3,4,5,7,1,0,0,7.0,48,21.6,1607.0,19,16
1,3,1,9,9,0,0,0,7.0,36,1425,728,22.1,1730.9,2,5,3,1,1,0,6.8,44,20.8,1588.4,12,14
1,3,0,6,6,1,0,0,7.4,60,1177,1161,21.1,1641.6,0,4,2,0,0,0,7.0,71,20.4,1523.9,14,14
1,2,1,2,2,1,0,0,7.0,64,-1586,410,23.1,1522.2,5,7,14,0,1,0,6.8,64,21.1,1680.8,19,17
0,2,0,5,3,1,1,0,6.8,44,-2896,-2081,23.2,1552.6,2,10,6,0,0,0,7.4,76,23.6,1842.2,16,15
1,1,0,12,10,0,0,0,6.4,48,905,1054,14.3,1759.7,3,9,9,0,0,0,6.2,40,18.1,1669.2,18,12
0,1,1,9,17,0,0,0,6.2,29,-3887,-3392,18.7,1683.4,1,17,21,0,0,0,7.0,40,21.1,2072.1,17,31
1,2,1,12,12,1,0,0,7.2,47,3413,2984,20.2,1905.8,2,6,7,0,0,0,6.6,39,21.0,1564.5,32,16
0,2,1,7,5,1,1,0,7.0,48,-256,-1580,22.8,1680.6,2,9,7,0,0,0,7.4,52,23.0,1706.2,16,34
1,5,1,7,7,0,0,0,6.8,44,-1820,-1412,22.7,1664.3,7,10,11,0,0,0,7.2,45,23.1,1846.3,19,17
1,1,1,6,12,1,0,0,6.8,39,625,-534,22.4,1618.9,1,4,4,0,0,0,7.0,48,21.7,1556.4,14,102
0,2,0,2,1,0,0,0,6.8,60,-3628,-2009,19.6,1409.5,2,6,4,1,0,0,7.0,60,26.6,1772.3,12,14
0,6,1,5,7,0,1,0,6.8,67,769,480,21.7,1680.4,4,5,6,1,0,0,6.4,54,23.3,1603.5,30,16
0,5,0,8,8,1,0,0,7.0,43,-576,-682,22.9,1730.5,3,8,6,0,1,0,7.0,66,19.8,1788.1,18,18
0,16,0,3,2,0,0,0,6.4,40,-3900,-3550,21.3,1453.9,2,9,8,1,0,0,7.6,51,25.5,1843.9,14,42
1,2,0,9,10,1,0,0,7.0,43,-7,-231,19.2,1753.0,2,8,8,0,1,0,7.2,60,20.9,1753.7,14,19
1,6,1,10,10,0,0,0,7.2,44,1683,1433,20.7,1843.1,3,7,5,1,0,0,7.0,56,23.1,1674.8,13,14
0,4,0,3,2,0,0,0,6.8,40,-4782,-3408,19.3,1403.2,8,10,11,1,0,0,7.4,51,24.5,1881.4,16,17
1,3,1,9,11,1,0,0,7.0,40,636,-214,20.5,1786.9,1,7,9,0,0,0,6.8,48,21.5,1723.3,38,14
1,1,0,7,6,1,0,0,6.2,37,-3421,-2624,18.3,1597.4,4,14,12,0,0,0,7.2,49,21.9,1939.5,40,13
1,5,0,5,6,1,0,0,7.2,61,976,1599,24.0,1610.8,3,3,5,0,0,0,6.8,42,23.0,1513.2,18,39
0,3,0,6,6,0,0,0,6.8,52,-211,-1305,21.2,1630.2,4,7,7,0,1,0,7.2,46,21.1,1651.3,40,17
1,5,0,7,6,0,0,0,6.8,52,1221,462,21.5,1675.0,3,5,5,0,0,0,6.8,48,19.7,1552.9,18,35
1,5,0,7,8,0,0,0,7.2,36,2037,1291,22.6,1650.6,3,1,0,1,0,0,6.6,80,21.7,1446.9,17,35
1,5,1,6,11,1,0,0,7.0,36,817,-94,24.1,1638.9,2,3,3,0,0,0,6.8,58,22.9,1557.2,15,38
1,2,1,4,4,0,0,0,7.0,48,-137,-351,21.5,1576.0,1,4,1,1,0,0,7.0,72,22.7,1589.7,18,15
1,6,1,4,4,1,0,0,6.4,33,-1539,-1497,22.6,1517.6,9,7,12,0,0,0,7.2,52,20.5,1671.5,43,23
0,5,0,5,4,0,0,0,6.4,48,-1707,-1286,19.1,1519.6,3,7,10,1,0,0,7.0,51,21.6,1690.3,13,62
1,1,0,6,2,1,0,0,7.0,55,-556,-235,22.8,1625.0,1,9,13,0,0,0,6.8,60,14.3,1680.6,13,17
1,1,1,9,15,1,0,0,6.6,37,-146,-717,19.9,1654.1,3,7,8,0,1,0,6.8,44,22.5,1668.7,20,12
1,1,1,12,9,0,1,0,7.2,37,4083,2884,22.7,1865.7,2,4,1,1,0,0,6.6,52,19.1,1457.4,15,15
1,1,0,5,6,0,0,0,7.2,64,1389,1418,22.3,1687.3,2,5,7,1,0,0,6.8,49,22.6,1548.4,17,38
0,4,0,3,3,1,0,0,6.4,55,-890,-528,21.1,1438.3,2,4,5,0,1,0,6.4,44,20.8,1527.3,28,16
0,3,1,4,5,0,0,0,6.4,32,-2519,-1095,19.2,1442.0,3,9,15,0,0,0,6.4,46,19.4,1693.9,12,18
0,1,0,4,4,0,0,0,6.2,30,-4440,-4020,18.3,1472.0,1,15,14,0,0,0,7.4,51,20.1,1916.0,87,10
1,3,1,7,7,0,0,0,7.2,64,1140,705,25.1,1740.6,1,6,4,1,1,0,7.2,56,19.0,1626.6,15,17
0,4,1,5,2,0,0,0,6.4,40,-1656,-1832,17.2,1521.0,5,7,3,0,0,0,6.8,51,21.9,1686.6,15,13
1,3,0,10,16,0,0,0,6.4,40,2171,-261,19.2,1727.2,2,5,6,1,1,0,6.6,40,19.9,1510.1,23,37
1,1,1,12,15,0,0,0,7.2,60,3841,2484,20.6,1935.8,2,4,3,0,0,0,6.8,56,21.6,1551.7,18,14
1,3,0,4,5,0,1,1,6.6,40,-885,-2172,23.2,1685.5,1,11,15,1,0,0,7.2,36,21.6,1774.0,16,37
0,2,0,3,4,1,1,0,6.6,60,-2752,-2286,19.1,1520.9,4,8,9,0,0,0,7.2,52,24.1,1796.1,16,17
1,3,1,13,22,0,0,0,7.0,31,2081,466,20.7,1954.2,4,9,11,0,0,0,7.0,44,20.0,1746.1,17,17
0,5,1,4,4,0,0,0,6.6,53,453,-19,23.2,1526.7,2,3,3,0,0,0,6.8,51,20.9,1481.4,15,16
0,2,1,3,3,1,0,0,6.6,56,830,-1002,22.4,1524.3,4,1,1,0,1,0,6.8,56,22.0,1441.3,15,40
0,2,0,8,3,0,0,0,6.8,48,94,-445,20.3,1621.4,4,8,6,0,0,0,7.0,48,16.8,1612.0,21,17
0,2,0,8,12,1,1,0,7.0,56,-722,891,17.8,1597.6,1,6,6,0,0,0,6.6,39,23.2,1669.8,70,13
0,1,0,6,10,0,1,0,6.8,47,-1491,-799,23.0,1655.7,5,7,11,1,0,0,7.0,53,22.2,1804.8,18,38
0,1,0,6,3,0,0,0,6.8,59,-3109,-1745,19.8,1614.2,1,14,16,1,1,0,7.0,37,20.1,1925.1,10,13
0,4,1,7,9,0,0,0,7.2,56,537,-477,23.0,1798.4,4,11,11,1,0,0,7.2,51,17.8,1744.7,15,16
1,9,0,13,10,1,1,0,7.8,71,4079,5568,22.2,2003.8,1,5,6,0,0,0,6.6,40,20.8,1595.9,15,39
1,3,0,10,13,0,0,1,7.2,50,4006,2081,21.3,1957.1,1,5,6,0,0,0,6.6,47,21.0,1556.5,91,17
0,2,1,3,4,0,0,0,6.4,48,-3582,-5395,20.0,1455.7,0,10,10,1,1,0,7.6,63,24.6,1813.9,18,16
1,4,0,6,5,0,0,0,7.0,56,-355,233,20.5,1602.9,3,6,5,1,0,0,7.0,48,22.4,1638.4,16,19
1,11,1,7,8,0,0,1,6.6,46,3464,994,20.7,1805.3,1,6,6,0,0,0,6.4,22,17.8,1458.9,18,41
1,2,1,9,9,1,0,0,7.0,60,2217,2183,22.5,1809.8,1,5,3,0,1,0,6.6,32,22.9,1588.1,16,12
1,1,1,8,9,1,1,0,7.2,59,3049,1511,23.5,1834.3,3,3,2,0,0,0,7.0,54,23.4,1529.4,13,13
1,2,0,5,4,1,0,0,7.0,44,-305,-474,19.8,1559.6,2,6,7,0,0,0,7.0,40,19.9,1590.1,13,25
0,3,0,4,6,1,0,0,7.0,53,1325,479,22.9,1581.2,3,2,1,0,1,0,7.0,54,21.8,1448.7,54,15
1,2,1,6,10,0,0,0,6.4,44,-53,87,22.1,1594.7,4,6,9,1,0,0,6.4,52,20.3,1600.0,17,14
0,1,0,5,5,0,0,0,6.6,40,-2865,-1441,19.6,1499.7,4,9,7,1,0,0,6.8,32,23.7,1786.2,35,16
0,1,1,7,5,0,0,0,6.8,42,-93,-561,21.5,1646.3,0,7,8,1,0,0,7.0,40,21.7,1655.6,10,33
0,5,1,6,7,0,0,0,6.6,46,-420,-1185,22.5,1607.2,3,7,10,1,0,0,7.2,50,21.2,1649.2,19,15
1,6,1,7,6,1,0,0,7.4,64,5008,2355,25.3,1914.0,6,3,3,0,1,0,6.8,45,17.9,1413.2,22,60
0,2,1,4,1,0,0,0,6.4,53,-2074,-1795,18.8,1454.7,3,6,5,1,1,0,6.8,56,19.6,1662.1,19,19
1,5,0,5,7,0,1,0,6.8,63,-3,1013,18.8,1564.4,3,4,7,0,0,0,6.6,48,19.0,1564.7,14,20
0,2,1,5,5,0,0,0,7.0,47,-837,-660,21.3,1573.4,3,5,7,1,1,0,7.0,47,24.9,1657.1,15,21
1,2,1,5,6,1,0,0,6.8,39,510,-747,22.9,1679.4,4,5,6,0,1,0,7.2,55,21.6,1628.4,38,37
0,3,0,6,8,1,0,0,6.8,43,-3549,-2407,20.0,1593.0,4,11,12,0,0,0,7.4,60,21.4,1947.9,16,14
1,4,0,6,6,0,0,0,7.2,56,272,359,24.0,1693.6,2,6,7,1,0,0,6.8,68,19.9,1666.4,17,56
1,2,1,9,9,0,0,0,7.2,51,2187,2189,23.0,1794.1,3,5,5,0,0,0,7.0,52,20.6,1575.4,18,45
0,6,0,2,4,0,0,0,6.2,33,-4907,-2556,22.2,1369.8,7,8,11,0,1,1,7.0,40,24.2,1860.5,19,18
1,3,1,5,3,1,0,0,7.4,64,63,648,23.8,1594.3,1,4,5,0,0,0,7.0,64,21.0,1588.0,14,16
1,0,0,4,6,0,1,0,7.0,68,-2132,-484,22.2,1589.1,2,8,13,1,0,0,7.0,47,23.0,1802.3,17,15
0,4,0,5,5,0,1,0,7.0,71,-976,-964,21.1,1621.6,2,6,8,1,0,0,7.6,69,22.2,1719.2,12,15
0,4,1,3,3,0,0,0,6.6,62,-1342,-1966,18.6,1475.4,6,5,6,1,0,0,7.2,54,21.8,1609.6,86,36
1,1,1,8,5,1,0,0,7.2,40,2304,2532,22.9,1690.9,3,2,2,0,0,0,6.2,44,20.8,1460.5,16,14
1,6,0,10,11,0,0,0,7.2,70,4219,3379,21.8,1885.8,3,2,1,1,0,0,6.6,56,21.9,1463.9,15,83
0,7,1,6,7,0,0,0,6.8,45,-2049,-2340,18.0,1595.2,6,7,9,0,0,0,7.2,46,24.3,1800.1,22,46
0,4,0,1,2,0,0,0,6.2,48,-4179,-3823,18.7,1328.6,4,5,4,1,0,0,7.0,67,23.6,1746.5,16,20
0,7,0,6,9,0,0,0,7.2,40,-66,-1073,26.9,1681.2,5,6,3,1,0,0,7.0,56,24.5,1687.8,17,19
1,3,0,9,13,1,1,0,6.8,60,510,142,17.8,1790.6,1,7,4,0,0,0,6.8,56,21.5,1739.6,16,14
0,3,1,4,2,0,1,0,7.2,53,2591,1567,26.3,1640.8,2,3,1,1,0,0,6.8,35,20.8,1381.7,15,15
0,1,1,4,5,0,0,0,6.4,46,-3772,-3034,19.8,1505.6,1,12,20,1,0,1,7.4,53,17.7,1882.8,14,13
0,1,1,6,11,1,0,0,6.8,43,965,-878,24.0,1783.1,2,6,7,0,0,0,7.0,51,23.3,1686.6,25,17
0,1,0,1,1,0,0,0,6.6,34,-3468,-2158,22.3,1373.8,2,5,7,1,1,0,7.4,70,25.9,1720.6,11,14
1,5,1,14,15,0,0,0,7.4,54,6153,3916,21.2,2031.7,4,3,4,0,0,0,6.4,45,19.6,1416.4,25,13
0,0,0,0,0,0,0,0,6.4,60,-2216,-2730,23.3,1409.1,2,5,8,1,0,0,7.0,60,22.9,1630.7,15,56
0,4,0,6,4,1,0,0,6.6,39,-2308,-1767,19.1,1603.6,6,11,14,0,0,0,7.2,28,20.6,1834.4,17,19
1,4,1,6,5,0,1,0,6.6,54,1917,-179,21.0,1705.2,2,6,3,1,0,0,7.0,51,19.4,1513.5,17,14
0,4,0,4,6,0,0,0,7.0,52,-1676,-1759,26.8,1635.4,4,7,8,1,0,0,7.4,84,24.4,1803.0,14,13
1,1,1,10,8,1,0,0,7.2,48,2709,1259,24.2,1829.7,0,5,7,0,0,0,6.8,60,21.4,1558.8,18,13
