items,levels
"{1: [1055, 2003, 3340, 1055, 2031, 2055, 3077, 1036], 2: [2033, 1036, 2055, 3134, 1001, 1036], 3: [2003, 3340, 1055, 1036, 1001, 3044, 1042, 1042, 2031], 4: [3858, 2003, 2003, 3340, 1001, 1029, 2055, 2055, 3117], 5: [1041, 2031, 3340, 3364, 3715, 2055, 1001, 3020, 2055, 2055], 6: [1055, 2003, 3340, 1036, 1055, 2055, 2003, 1038, 2003], 7: [3858, 2003, 2003, 3340, 1001, 2055, 3117, 2055], 8: [3340, 2033, 1053, 1001, 2010, 2010, 2055], 9: [1056, 3340, 2003, 2003, 3010, 2055, 2031, 1026, 3027, 1001, 1029], 10: [1041, 2031, 3340, 3364, 3706, 1036, 1036, 3133, 1001, 2055, 1400, 2055]}","{1: 8, 2: 7, 3: 8, 4: 6, 5: 6, 6: 7, 7: 5, 8: 7, 9: 8, 10: 7}"
"{1: [1041, 2031, 3340, 3364, 1001, 2055, 1041, 3706, 3133], 2: [1056, 2003, 2003, 3340, 3802, 1001, 2055, 3047, 1082, 2031, 2055, 2055], 3: [1055, 2003, 3340, 1053, 2031, 2055, 1001, 3144, 1042], 4: [2003, 2003, 3340, 3850, 1001, 1028, 1004, 2055, 2055, 3364, 3117, 2055], 5: [2033, 3340, 3057, 3044], 6: [1055, 2003, 3340, 1037, 2031, 3070, 1001, 2055], 7: [2033, 3340, 3117, 1036, 1036, 2055, 3134, 2055, 2055], 8: [3850, 2003, 2003, 3340, 1001, 1052, 1029, 1029, 3191, 2055, 2055, 2003], 9: [1054, 2003, 3340, 1052, 2003, 1053, 2003], 10: [1039, 2031, 3340, 3364, 3133, 2055, 3706, 1001, 2055, 1400]}","{1: 7, 2: 8, 3: 6, 4: 6, 5: 9, 6: 6, 7: 8, 8: 6, 9: 8, 10: 7}"
"{1: [1039, 2031, 3340, 3364, 3706, 1001, 2055, 1028], 2: [1054, 2003, 3340, 1001, 1028, 1006, 2003, 1028, 1036], 3: [3858, 2003, 2003, 3340, 3009, 2003, 1029, 2031], 4: [1055, 2003, 3340, 1053, 2003, 2055, 1037], 5: [1056, 2003, 2003, 3340, 1056, 1001, 1052, 3802, 2003, 2055, 2003, 2055, 3020], 6: [1039, 2031, 3340, 3364, 1052, 1001, 2055, 3706, 2055, 3108, 2055, 2055], 7: [1056, 2003, 2003, 1052, 1052, 2003, 3145, 1053, 1001, 2003], 8: [2033, 3340, 1055, 3111, 1053, 1042], 9: [3858, 2003, 2003, 1082, 1052, 3108, 1004], 10: [1055, 2003, 3340, 1038, 2031, 1001, 2055, 1004]}","{1: 7, 2: 7, 3: 6, 4: 6, 5: 8, 6: 7, 7: 9, 8: 8, 9: 6, 10: 6}"
"{1: [3854, 2003, 2003, 3117, 1029, 1029, 2055], 2: [1055, 2003, 3340, 2031, 2055, 1036, 1036], 3: [1041, 2031, 3340, 3077, 3364, 2055, 3134, 1001], 4: [2033, 3340, 3070, 1004, 2055, 1052, 3802, 2055], 5: [1056, 2003, 2003, 3191, 2003, 2055, 1001, 1027, 2003], 6: [1055, 2003, 3340, 3006, 2055, 1036, 1036], 7: [3340, 3340, 3858, 2003, 2003, 3340, 1001, 2055, 2003, 3117, 2003, 2055], 8: [1028, 2003, 2003, 3340, 3108, 3067, 1052], 9: [1039, 2031, 3340, 3364, 1036, 1041, 2055, 3133, 3715, 2055, 1412, 2055], 10: [3340, 2033, 1036, 1036, 1036, 2055, 1036, 3077]}","{1: 6, 2: 6, 3: 7, 4: 8, 5: 8, 6: 7, 7: 6, 8: 8, 9: 7, 10: 8}"
"{1: [3340, 2033, 1053, 1042, 1036, 3144], 2: [1056, 2003, 2003, 3070, 1001, 1052, 1027], 3: [1039, 2031, 3340, 3706, 3108, 2055, 1402, 3020, 2055, 3364], 4: [3862, 2003, 2003, 3340, 3134, 2055, 1036, 1036], 5: [1055, 2003, 3340, 1036, 1028, 2055, 1042, 3044, 1042, 2055], 6: [1055, 2003, 3340, 1001, 2031, 3153, 2055], 7: [1039, 2031, 3340, 1001, 1041, 2055, 1052, 3706, 3108, 2055], 8: [1054, 2003, 3340, 1028, 2003, 3010, 1029, 3191], 9: [1055, 2003, 3340, 3070, 2003, 3004, 1001], 10: [2003, 2003, 3854, 1001, 1029, 1029, 2003, 2003, 3117]}","{1: 8, 2: 7, 3: 8, 4: 7, 5: 6, 6: 8, 7: 6, 8: 8, 9: 6, 10: 6}"
"{1: [3850, 2003, 2003, 3340, 1082, 1001, 2055, 1052], 2: [1056, 2003, 2003, 3340, 3145, 3020, 1028, 2003, 3067, 1082, 2031], 3: [1056, 2003, 3340, 2003, 3145, 2055, 3067, 1001, 2031], 4: [1041, 2031, 3706, 1001, 3364, 1401, 3111, 2055], 5: [1054, 2003, 1037, 1083, 2055, 3070, 2055], 6: [1055, 2003, 3340, 3006, 2031, 1053, 1042], 7: [2033, 3340, 1055, 1033, 1036, 2055, 1036], 8: [1056, 2003, 2003, 3340, 1001, 1052, 2055, 3020, 1052, 3802], 9: [1039, 2031, 3340, 1036, 1036, 2055, 3715, 2055, 1412, 1001, 1036], 10: [3850, 2003, 2003, 3340, 1001, 2055, 3111, 1028, 2055]}","{1: 5, 2: 8, 3: 8, 4: 8, 5: 7, 6: 7, 7: 7, 8: 8, 9: 7, 10: 6}"
"{1: [1054, 2003, 3340, 3751, 2055, 3211], 2: [1041, 2031, 3340, 3364, 3715, 1412, 2055], 3: [1054, 2003, 3340, 3108, 3067, 2055, 1052, 1052], 4: [1055, 2003, 3340, 1001, 2003, 1036, 1036, 2031, 2055], 5: [3858, 2003, 2003, 3340, 1001, 2055, 1028, 2055], 6: [1055, 2003, 3340, 3070, 1001, 1083], 7: [3858, 2003, 2003, 1001, 1004, 1052, 2055], 8: [2033, 3340, 1082, 1033, 1057, 2055, 3751], 9: [1039, 2031, 3340, 3364, 3715, 1052, 3108, 2055, 1414, 1001, 2055, 1052, 2055], 10: [3340, 2033, 1053, 2055, 3144, 3153]}","{1: 8, 2: 6, 3: 7, 4: 6, 5: 6, 6: 6, 7: 6, 8: 8, 9: 6, 10: 8}"
"{1: [2003, 1056, 2003, 3340, 1001, 1056, 1004, 2003, 3108, 2003], 2: [1054, 2003, 3340, 2055, 2003, 2003, 1011, 1001, 2031, 3052, 1028], 3: [3850, 2003, 2003, 3340, 1004, 1004, 1001, 3070, 1052], 4: [1039, 3340, 1006, 1036, 1036, 3077, 1001], 5: [2003, 1055, 3340, 1038, 2055, 3133, 1001, 1042], 6: [1039, 2031, 3340, 1082, 3108, 1001, 1402, 1052], 7: [2033, 3340, 3010, 1082, 2055], 8: [1055, 2003, 3340, 1036, 1036, 2055, 1001, 1053, 3144, 1043], 9: [1055, 2003, 3340, 1038, 1001, 2003, 1037, 1042, 2003, 2003], 10: [3858, 2003, 2003, 3340, 1001, 1029, 2055, 1033, 2055, 3364, 3117, 2055, 2055, 2055]}","{1: 8, 2: 8, 3: 5, 4: 6, 5: 8, 6: 8, 7: 8, 8: 7, 9: 7, 10: 5}"
"{1: [1055, 2003, 3340, 1055, 1001, 1036, 1036, 3133, 3006], 2: [1039, 3340, 2031, 3364, 1041, 2055, 2055, 3715, 1036, 1036, 1036, 3133], 3: [2033, 3340, 1052, 1001, 1082, 1052], 4: [1055, 2003, 3340, 3144, 3153, 1001], 5: [3850, 2003, 2003, 3340, 2031, 1082, 1052, 2055, 3108, 2055], 6: [1054, 2003, 3340, 3144, 1052, 1001, 2055, 3146, 3020, 2055], 7: [1039, 2031, 3340, 3706, 1028, 2055, 3751, 2055, 3364, 1401, 1029, 2055], 8: [1055, 2003, 3340, 1038, 2015, 1037, 3006], 9: [3858, 2003, 2003, 3340, 3117, 2055, 2003, 3067, 1029, 2055, 3364], 10: [2033, 1036, 1036, 2055, 1055, 3144, 1042]}","{1: 7, 2: 7, 3: 7, 4: 8, 5: 5, 6: 8, 7: 7, 8: 6, 9: 6, 10: 7}"
"{1: [3858, 2003, 2003, 3340, 1001, 2055, 3117], 2: [1055, 2003, 3340, 1053, 1001, 2031, 3144, 1042], 3: [1054, 2003, 3340, 1036, 2031, 2055, 1055, 1029, 1028], 4: [2031, 1036, 1036, 1006, 1036, 1001, 3364, 3134, 1036], 5: [1039, 2031, 3340, 3706, 3364, 2055, 2055, 1052, 1001, 3108, 1402], 6: [2033, 3340, 1001, 1036, 3144, 2055, 1043, 2055, 3364], 7: [1039, 2031, 3340, 3706, 1052, 3364, 1402, 1001, 1082], 8: [3850, 2003, 2003, 3340, 1052, 1082, 3108, 1001, 2055, 2003, 3364], 9: [1054, 2003, 3077, 2003, 2003, 3047, 3044], 10: [1055, 2003, 3340, 1037, 1027, 1001, 2003, 3004, 2003, 2055]}","{1: 6, 2: 7, 3: 8, 4: 7, 5: 8, 6: 8, 7: 7, 8: 6, 9: 9, 10: 7}"
"{1: [1055, 2003, 3340, 3070, 2003, 3057, 2003, 2055], 2: [1056, 2003, 2003, 1052, 2031, 1052, 2055, 3802, 1001], 3: [1041, 2031, 3715, 1036, 2055, 1036, 2055, 3133, 1001], 4: [3850, 2003, 2003, 3340, 1001, 1052, 1004, 1004, 2003], 5: [1055, 2003, 1036, 1036, 1006, 2003, 3077, 1053, 2003, 2055, 1001], 6: [3854, 2003, 2003, 3340, 1001, 2055, 2003, 2055, 3117, 2055, 2003, 1029, 2055, 2055, 3364], 7: [1054, 2003, 1029, 2003, 2003, 1001, 2055, 2003, 3047, 1036, 1053, 1036], 8: [1039, 2031, 3364, 3706, 1052, 2055, 2055, 3108, 1402, 1001, 2055, 2055, 1052], 9: [1055, 2003, 3340, 1036, 1036, 1037, 2031, 1038], 10: [1054, 2003, 3340, 3020, 2003, 1052, 2003, 1026, 2055]}","{1: 7, 2: 8, 3: 7, 4: 6, 5: 8, 6: 6, 7: 7, 8: 6, 9: 7, 10: 8}"
"{1: [1056, 3340, 2003, 2003, 1082, 1052, 2055, 3802, 1082, 2055], 2: [3340, 2031, 1039, 3364, 3715, 1036, 2055, 1036, 2055, 1412, 2055, 2055], 3: [1055, 2003, 3340, 3057, 3070, 2003], 4: [3340, 2033, 1055, 1036, 1036, 1042, 1042, 1053, 3144, 1043], 5: [3340, 2003, 3850, 2003, 3108, 1004, 1004, 2055], 6: [1054, 2003, 2003, 1001, 1036, 2055, 3134, 1036, 1036, 3364], 7: [3340, 2003, 1055, 1029, 1055, 2003, 2003, 1036, 3077, 2003], 8: [3340, 2003, 1054, 1037, 2003, 2003, 3031], 9: [1039, 2031, 3340, 3706, 1052, 1001, 3364, 1402, 1082, 2055], 10: [2003, 2003, 3340, 3854, 3117, 2055, 2003, 2003]}","{1: 7, 2: 7, 3: 6, 4: 8, 5: 6, 6: 8, 7: 7, 8: 6, 9: 6, 10: 6}"
"{1: [2033, 3340, 1053, 1055, 2055, 3144, 1042, 1001], 2: [3850, 2003, 2003, 3340, 3020, 1082, 2055, 1052], 3: [1039, 2031, 3715, 1414, 3364], 4: [1055, 2003, 3364, 1055, 1055, 2055, 2003, 1001, 3340, 1038], 5: [3340, 1055, 2003, 3077, 1001, 3044, 2055, 2031], 6: [1055, 2003, 3340, 1036, 1036, 2003, 1001, 2003, 3133, 2031, 2055], 7: [1039, 2031, 3340, 3706, 2055, 3364, 1036, 1036, 2055, 3133], 8: [1054, 2003, 3340, 1055, 1036, 2003, 1053, 1036, 1042, 3144], 9: [3364, 2033, 1082, 1056, 2055, 1001, 1052, 1029], 10: [3340, 2003, 2003, 3854, 1001, 2031, 2055, 2055, 3047]}","{1: 9, 2: 6, 3: 7, 4: 7, 5: 8, 6: 7, 7: 5, 8: 6, 9: 7, 10: 5}"
"{1: [1041, 2031, 3340, 1039, 3715, 1001, 1036, 2055, 3364, 1036, 3133, 2055], 2: [2003, 2003, 1056, 1052, 3145, 1028], 3: [2033, 3340, 1036, 1083, 2055, 2055, 3044, 1001], 4: [3854, 2003, 2003, 3340, 1001, 1029, 2055, 1033], 5: [1055, 2003, 3340, 1038, 2055, 2031, 3006, 2055], 6: [1055, 2003, 3340, 1055, 2003, 1036, 2055, 1036], 7: [1039, 2031, 3340, 3364, 3715, 1001, 2055, 1414, 2055], 8: [1027, 2031, 3340, 3070, 1027, 3802, 2055], 9: [3850, 2003, 2003, 3340, 1001, 2055, 3009, 2055, 2031], 10: [1055, 2003, 3340, 1055, 3057]}","{1: 6, 2: 6, 3: 8, 4: 6, 5: 6, 6: 7, 7: 8, 8: 8, 9: 6, 10: 6}"
"{1: [3340, 1055, 1042, 2003, 2003, 1083, 1038, 2003], 2: [3858, 2003, 2003, 3340, 1001, 2003, 2031, 2055, 1027, 1029], 3: [1028, 2003, 2003, 2031, 3057, 1029, 1029, 3076], 4: [2033, 3340, 1026, 1052, 1082, 2055, 3802, 2055], 5: [2031, 3340, 1039, 3364, 3133, 1001, 2055, 3706], 6: [1056, 2003, 2003, 3340, 1052, 1052, 3802, 2003, 1001], 7: [1055, 2003, 3340, 1027, 1004, 2003, 2003, 3070, 1037, 1001, 3004, 3057], 8: [3850, 2003, 2003, 3340, 1004, 1004, 2055, 3028, 3108, 2055], 9: [1055, 2003, 3340, 1053, 1036, 2031, 3044, 3067, 1001], 10: [1041, 2031, 3340, 1036, 1036, 3715, 1001, 3133, 1036, 1412]}","{1: 5, 2: 5, 3: 7, 4: 8, 5: 7, 6: 8, 7: 6, 8: 6, 9: 8, 10: 7}"
"{1: [1055, 2003, 3340, 3006, 1036, 1053, 1036, 1042, 3144, 1042], 2: [1041, 2031, 3340, 3715, 3364, 1001, 2055], 3: [3858, 3340, 2003, 2003, 1001, 2055, 2003, 3117, 2055, 2055, 1029, 2055], 4: [2033, 3340, 1082, 1001, 2055, 3067, 1052], 5: [2033, 3057, 2055, 1036, 1001], 6: [1054, 2003, 3340, 2031, 2055, 3108, 1052, 2055], 7: [1041, 2031, 3340, 1001, 2055, 3706, 3133, 2055, 2055, 3364], 8: [2003, 3340, 1055, 1001, 1036, 1036, 2003, 2031, 3133, 1042, 3006], 9: [1055, 2003, 3340, 1036, 1036, 2003, 2003, 3077, 2031, 2055, 3057, 2055], 10: [3850, 2003, 2003, 3340, 1001, 2003, 2055, 2003, 2055, 3020, 2003, 2055, 3364, 2003, 2055]}","{1: 6, 2: 6, 3: 5, 4: 7, 5: 8, 6: 8, 7: 7, 8: 7, 9: 8, 10: 5}"
"{1: [3340, 2033, 1055, 1036, 1055, 1053, 1042, 1001], 2: [1055, 2003, 3340, 2003, 2055, 1038, 1001, 3006], 3: [1041, 2031, 3340, 3715, 1036, 2055, 1412], 4: [3850, 2003, 2003, 3340, 1001, 2055, 2003, 1004, 1004, 3117, 3364, 1052], 5: [1056, 2003, 2003, 3340, 1056, 2031, 2055, 1001, 3108], 6: [1055, 3340, 2003, 1055, 1004, 2003, 3057, 3070, 1001, 2003], 7: [1055, 3340, 2003, 2031, 1055, 2055, 1036, 1036, 3133, 1028], 8: [3858, 2003, 2003, 3340, 3009, 2055, 2055, 1029, 2055, 1033, 3105], 9: [2033, 3340, 1056, 1052, 1052, 3802, 3145, 2055], 10: [1041, 2031, 3340, 3364, 3715, 2055, 1412, 1001, 2055, 1029, 2055]}","{1: 8, 2: 7, 3: 7, 4: 6, 5: 7, 6: 7, 7: 8, 8: 6, 9: 8, 10: 7}"
"{1: [1055, 2003, 3340, 1055, 1036, 2003, 1036, 2031], 2: [1027, 2031, 3340, 1027, 1029, 3070, 1052, 3191], 3: [1055, 2003, 3340, 1083, 1004, 1004, 3070, 1001, 2003], 4: [3340, 2031, 1041, 1036, 2055, 3133, 1039], 5: [3862, 2003, 2003, 1036, 2055, 2055, 2003, 3134, 1036, 1036], 6: [3340, 1055, 2003, 2003, 1036, 1038, 1001, 2003], 7: [1055, 2003, 3340, 1055, 1036, 2055, 3057, 1028, 2031, 3044, 3047], 8: [3854, 2003, 2003, 1001, 3117, 1029, 1029, 2055], 9: [3340, 2033, 3134, 2055, 1036, 1001, 2055, 3133, 1004], 10: [1041, 2031, 3340, 3715, 1001, 2055, 3364, 3108, 1082, 1414, 3020, 1052, 2055]}","{1: 7, 2: 7, 3: 6, 4: 7, 5: 6, 6: 7, 7: 8, 8: 6, 9: 8, 10: 7}"
"{1: [3854, 2003, 1001, 2055, 3117, 1029, 2003, 2055, 2003], 2: [1054, 2003, 3340, 3751, 2055, 2003, 2003, 1001, 1029, 2003], 3: [1039, 2031, 3364, 3340, 3706, 1052, 3364, 2055, 1402, 1001, 3020, 1042, 1042], 4: [2003, 1055, 3340, 1037, 1001, 2031, 3004, 1042], 5: [1056, 2003, 3340, 1052, 1052, 2003, 2055, 2003, 3802, 1001, 1026, 2003, 2055, 2055, 1033], 6: [2033, 1082, 2055, 1052, 1027, 3802, 1052, 1052], 7: [3340, 1041, 2031, 1036, 1006, 1036, 1001, 3077, 1036], 8: [2031, 1036, 1036, 1036, 3133, 1006, 3077], 9: [1055, 3340, 2003, 1027, 1004, 3070, 1037, 1001, 2031, 2055], 10: [3854, 2003, 2003, 3340, 1001, 3117, 3134, 1036, 2003, 3364]}","{1: 5, 2: 9, 3: 8, 4: 6, 5: 8, 6: 7, 7: 6, 8: 7, 9: 6, 10: 6}"
"{1: [1036, 2031, 3340, 1036, 1001, 1006, 3077, 3117, 2055], 2: [1056, 2003, 2003, 3340, 1056, 3070, 2055, 1027], 3: [1041, 2031, 3706, 1036, 1036, 3364, 2055, 1400, 2055, 1001], 4: [1027, 2031, 3070, 1027, 1001, 3010, 2055, 1026, 3027], 5: [3850, 2003, 2003, 3340, 2055, 1052, 1004, 1004, 2055], 6: [1054, 2003, 1083, 2003, 2003, 1001, 1029, 2031, 2055], 7: [2031, 1039, 3706, 1052, 1402], 8: [1056, 2003, 2003, 3340, 3802, 2055, 3030, 2055], 9: [3854, 2003, 2003, 3340, 3117, 3364, 3364, 2010, 2010, 3364, 1033, 1029], 10: [2033, 3340, 1036, 1036, 1006, 2055, 3077]}","{1: 7, 2: 6, 3: 6, 4: 8, 5: 6, 6: 9, 7: 8, 8: 7, 9: 6, 10: 7}"
"{1: [1054, 2003, 3340, 3077, 2003, 2055, 1001, 1038], 2: [2031, 1039, 3340, 1082, 3715, 1052], 3: [2033, 3340, 2055, 1036, 2055, 1001, 1036], 4: [1055, 2003, 3340, 1037, 1001, 1004, 3004], 5: [3858, 2003, 2003, 3340, 1001, 2031, 2055, 3117], 6: [1055, 2003, 3340, 1036, 1055, 1053, 1001, 2003, 1037, 2003, 2003, 3074, 1029, 2055], 7: [1039, 2031, 3715, 3108, 1414, 1082, 2055, 3364], 8: [3854, 2003, 3340, 1001, 1036, 2055, 2055, 2003, 3117, 3364, 2055], 9: [1055, 2003, 3340, 3144, 2055], 10: [1056, 2003, 2003, 1027, 1052, 2003, 3802, 1001, 2031]}","{1: 8, 2: 6, 3: 6, 4: 7, 5: 5, 6: 8, 7: 7, 8: 6, 9: 7, 10: 7}"
