,gameId,blueChampions,blueWins,blueFirstBlood,blueFirstBloodAssist,blueTotalExperience,blueGoldDiff,blueExperienceDiff,blueCSDiff,blueKills,blueAssists,blueDeaths,redChampions,redFirstBloodAssist,redTotalExperience,redAssists,blueCSPerMin,redCSPerMin,blueGoldPerMin,redGoldPerMin,blueAvgPickrate,redAvgPickrate,blueAvgWinrate,redAvgWinrate
10,NA1/3734939626,"['Ornn', 'Olaf', 'Rumble', 'Samira', 'Braum']",0,0.0,0.0,18778.0,576.0,581.0,30.0,2.0,3.0,2.0,"['Fiora', 'Lillia', 'Ryze', 'KaiSa', 'Maokai']",0.0,18197.0,2.0,33.1,30.1,1568.2,1510.6,0.10852863010388983,0.1529354916646533,0.4875186153972272,0.5048496612765319
11,NA1/3737099763,"['Aatrox', 'Karthus', 'Lucian', 'KaiSa', 'Pantheon']",1,1.0,0.0,20061.0,3360.0,2635.0,76.0,4.0,7.0,1.0,"['Ornn', 'Hecarim', 'Viktor', 'Samira', 'Maokai']",0.0,17426.0,1.0,34.9,27.3,1737.8,1401.8,0.15510992993476685,0.112031891761295,0.5087466522180493,0.5031214490139311
12,NA1/3737119854,"['Gragas', 'Graves', 'LeBlanc', 'KaiSa', 'Leona']",0,0.0,0.0,18411.0,402.0,1150.0,5.0,4.0,8.0,2.0,"['Renekton', 'Nidalee', 'Twisted Fate', 'Lucian', 'Alistar']",0.0,17261.0,3.0,30.0,29.5,1600.8,1560.6,0.20567769992751872,0.16185068857211887,0.49984529035387953,0.5210199018301037
13,NA1/3735059696,"['Ornn', 'Lillia', 'Pantheon', 'Lucian', 'Maokai']",1,1.0,0.0,18311.0,1366.0,80.0,-10.0,4.0,4.0,1.0,"['Gragas', 'Hecarim', 'Viktor', 'KaiSa', 'Alistar']",0.0,18231.0,0.0,31.5,32.5,1627.4,1490.8,0.09415317709591689,0.2554240154626722,0.5055968256298145,0.5059800248082118
14,NA1/3735089630,"['Gragas', 'Graves', 'Anivia', 'Miss Fortune', 'Sett']",0,0.0,0.0,17599.0,-1635.0,-1297.0,-27.0,2.0,1.0,3.0,"['Aatrox', 'Nidalee', 'Viktor', 'KaiSa', 'Galio']",0.0,18896.0,5.0,28.7,31.4,1451.0,1614.5,0.10869775308045422,0.2024643633727954,0.4441918464264365,0.5105193187605315
15,NA1/3737099991,"['Gangplank', 'Graves', 'Karma', 'KaiSa', 'Leona']",1,1.0,0.0,19878.0,109.0,2423.0,31.0,2.0,3.0,0.0,"['Lulu', 'Kindred', 'Twisted Fate', 'Aphelios', 'Braum']",0.0,17455.0,0.0,34.0,30.9,1620.1,1609.2,0.19369412901667066,0.07936699685914472,0.4785891988193468,0.4899823670087219
16,NA1/3737120121,"['Aatrox', 'Olaf', 'Orianna', 'Vayne', 'Leona']",1,1.0,0.0,18667.0,1185.0,755.0,14.0,6.0,8.0,4.0,"['Wukong', 'Hecarim', 'Ryze', 'KaiSa', 'Alistar']",0.0,17912.0,6.0,31.2,29.8,1716.8,1598.3,0.16185068857211887,0.21418216960618505,0.5098256213363678,0.5098612913958986
17,NA1/3737140122,"['Aatrox', 'Lillia', 'Viktor', 'KaiSa', 'Maokai']",0,0.0,0.0,18757.0,-490.0,207.0,-6.0,3.0,8.0,4.0,"['Ornn', 'Graves', 'Orianna', 'Aphelios', 'Leona']",0.0,18550.0,5.0,31.7,32.3,1589.6,1638.6,0.19096400096641702,0.16189900942256585,0.5176703288446739,0.49061187035597287
18,NA1/3737169983,"['Akali', 'Graves', 'Anivia', 'Miss Fortune', 'Maokai']",1,0.0,0.0,19630.0,58.0,1727.0,63.0,0.0,0.0,2.0,"['Sion', 'Kindred', 'Ekko', 'Jhin', 'Galio']",0.0,17903.0,5.0,36.3,30.0,1532.8,1527.0,0.061971490698236285,0.08231456873640977,0.4727165822790352,0.46312922386962835
19,NA1/3737100387,"['Aatrox', 'KhaZix', 'Viktor', 'Jhin', 'Pantheon']",1,1.0,0.0,18955.0,2176.0,884.0,6.0,4.0,8.0,1.0,"['Irelia', 'Graves', 'Lissandra', 'KaiSa', 'Alistar']",0.0,18071.0,1.0,31.8,31.2,1688.4,1470.8,0.0866151244261899,0.17963276153660304,0.510239907698993,0.4931582028973282
20,NA1/3737170412,"['Ornn', 'Graves', 'Orianna', 'KaiSa', 'Leona']",0,1.0,0.0,18412.0,887.0,-522.0,-36.0,6.0,7.0,3.0,"['Gragas', 'Lillia', 'Lucian', 'Miss Fortune', 'Galio']",0.0,18934.0,5.0,29.7,33.3,1697.3,1608.6,0.22490939840541194,0.14394781348151725,0.4953644260521993,0.4922871794262803
21,NA1/3737120636,"['Aatrox', 'Olaf', 'Orianna', 'Jhin', 'Leona']",0,0.0,0.0,18269.0,-1520.0,-230.0,-15.0,1.0,2.0,4.0,"['Darius', 'Graves', 'Syndra', 'KaiSa', 'Morgana']",0.0,18499.0,2.0,29.8,31.3,1453.4,1605.4,0.17132157525972458,0.15329789804300556,0.4996677152148017,0.4729603982355406
22,NA1/3737170792,"['Kayle', 'Olaf', 'Orianna', 'Jhin', 'Pantheon']",1,1.0,0.0,20486.0,2324.0,3048.0,73.0,3.0,0.0,2.0,"['Sion', 'KhaZix', 'Seraphine', 'Miss Fortune', 'Maokai']",0.0,17438.0,2.0,37.6,30.3,1696.1,1463.7,0.11123459772892001,0.05921720222275913,0.4956175492822464,0.5283723006391078
23,NA1/3737121035,"['Ornn', 'Graves', 'Anivia', 'Lucian', 'Lulu']",0,0.0,0.0,18131.0,-949.0,-636.0,-32.0,0.0,0.0,1.0,"['Renekton', 'Nidalee', 'Xerath', 'KaiSa', 'Braum']",0.0,18767.0,2.0,29.2,32.4,1444.5,1539.4,0.0809132640734477,0.17639526455665622,0.43864702810743983,0.5179216010746194
24,NA1/3737121483,"['Jax', 'Graves', 'Galio', 'KaiSa', 'Rakan']",1,1.0,0.0,20396.0,1748.0,1430.0,50.0,2.0,4.0,1.0,"['Ornn', 'Kindred', 'Seraphine', 'Aphelios', 'Braum']",0.0,18966.0,1.0,36.4,31.4,1667.0,1492.2,0.1709350084561488,0.09135056776999276,0.4977574881884485,0.48171756665216947
25,NA1/3737122018,"['Ornn', 'Graves', 'Malphite', 'Senna', 'Braum']",0,1.0,0.0,17582.0,690.0,1055.0,-25.0,3.0,4.0,1.0,"['Lucian', 'Lillia', 'Sylas', 'Jhin', 'Gragas']",0.0,16527.0,1.0,27.7,30.2,1534.2,1465.2,0.08895868567286784,0.13880164290891522,0.46627509627069247,0.48669018762362803
26,NA1/3737122543,"['Vladimir', 'Graves', 'Yone', 'Miss Fortune', 'Shen']",1,0.0,0.0,17680.0,-436.0,-107.0,10.0,3.0,6.0,3.0,"['Camille', 'Nidalee', 'Twisted Fate', 'Samira', 'Braum']",0.0,17787.0,5.0,31.3,30.3,1567.3,1610.9,0.055762261415800915,0.09693162599661753,0.45426099108838863,0.5126465389150809
27,NA1/3737122937,"['Yone', 'Lee Sin', 'Zoe', 'Draven', 'Zilean']",1,0.0,0.0,17634.0,-58.0,-518.0,-44.0,5.0,5.0,2.0,"['Renekton', 'Lillia', 'Irelia', 'Jhin', 'Gragas']",0.0,18152.0,4.0,26.8,31.2,1577.7,1583.5,0.06013529838125151,0.14962551340903602,0.5101941834388867,0.49079007080647746
28,NA1/3737123325,"['Wukong', 'Hecarim', 'Akali', 'Miss Fortune', 'Galio']",1,0.0,0.0,19279.0,1161.0,1673.0,56.0,3.0,5.0,1.0,"['Yone', 'Lee Sin', 'Twisted Fate', 'KaiSa', 'Lulu']",0.0,17606.0,1.0,34.0,28.4,1635.1,1519.0,0.11618748489973423,0.15530321333655472,0.5088097712656803,0.5173596276494283
29,6911-9185,"['Renekton', 'Sejuani', 'Syndra', 'Samira', 'Alistar']",1,0.0,0.0,18445.0,-94.0,483.0,34.0,0.0,0.0,1.0,"['Volibear', 'Pantheon', 'Zoe', 'KaiSa', 'Maokai']",0.0,17962.0,4.0,34.9,31.5,1490.7,1500.1,0.15208987678183136,0.15146170572602077,0.4836783529762885,0.5117122472241571
30,6911-9186,"['Gragas', 'Graves', 'Syndra', 'Aphelios', 'Thresh']",0,1.0,0.0,16251.0,774.0,-1444.0,-53.0,5.0,10.0,2.0,"['Irelia', 'Olaf', 'Orianna', 'KaiSa', 'Sett']",0.0,17695.0,5.0,26.0,31.3,1593.6,1516.2,0.16545059193041797,0.2147620198115487,0.48152442939130236,0.5085558429436585
31,6912-9187,"['Gnar', 'Nidalee', 'Orianna', 'Miss Fortune', 'Galio']",1,1.0,0.0,18577.0,1748.0,482.0,-10.0,6.0,10.0,2.0,"['Renekton', 'Graves', 'Viktor', 'Jhin', 'Leona']",0.0,18095.0,3.0,31.5,32.5,1725.9,1551.1,0.1671659821212853,0.16119835709108482,0.5154040746202473,0.48367925141952084
32,6912-9188,"['Gnar', 'Nidalee', 'Zoe', 'Jhin', 'Leona']",1,0.0,0.0,17920.0,497.0,607.0,26.0,3.0,4.0,2.0,"['Wukong', 'Graves', 'Viktor', 'Miss Fortune', 'Maokai']",0.0,17313.0,4.0,32.9,30.3,1599.0,1549.3,0.15566561971490697,0.08200048320850448,0.498282275084265,0.5025220548311992
33,6913-9192,"['Ornn', 'Graves', 'Syndra', 'Xayah', 'Thresh']",1,1.0,0.0,18846.0,-652.0,-86.0,-20.0,1.0,2.0,1.0,"['Kennen', 'Olaf', 'Twisted Fate', 'KaiSa', 'Gragas']",0.0,18932.0,1.0,32.5,34.5,1521.2,1586.4,0.14981879681082388,0.18221792703551584,0.4663918543361857,0.5254935525281053
34,6913-9193,"['Kennen', 'Graves', 'Syndra', 'Xayah', 'Thresh']",0,0.0,0.0,17624.0,-3082.0,-1879.0,-24.0,1.0,2.0,5.0,"['Jayce', 'Olaf', 'Orianna', 'Jhin', 'Leona']",0.0,19503.0,6.0,32.3,34.7,1493.8,1802.0,0.1354916646532979,0.1634694370620923,0.4846948512106112,0.4992292164652435
35,6913-9194,"['Kennen', 'Olaf', 'Syndra', 'KaiSa', 'Shen']",0,0.0,0.0,18839.0,-618.0,29.0,-11.0,2.0,4.0,2.0,"['Jayce', 'Graves', 'Twisted Fate', 'Jhin', 'Leona']",0.0,18810.0,4.0,33.0,34.1,1571.3,1633.1,0.16525730852863013,0.11993235080937423,0.495357376371419,0.49476869709644217
36,6914-9195,"['Aatrox', 'Olaf', 'LeBlanc', 'Jhin', 'Leona']",0,0.0,0.0,18323.0,-919.0,-854.0,-10.0,0.0,0.0,1.0,"['Camille', 'Pantheon', 'Viktor', 'Miss Fortune', 'Gragas']",0.0,19177.0,1.0,33.7,34.7,1477.0,1568.9,0.13133607151485865,0.11321575259724573,0.4965027535779731,0.49864620498129353
38,ESPORTSTMNT03/1670713,"['Malphite', 'Elise', 'LeBlanc', 'KaiSa', 'Thresh']",0,0.0,0.0,17269.0,-695.0,114.0,-4.0,0.0,0.0,2.0,"['Kled', 'KhaZix', 'Sylas', 'Miss Fortune', 'Leona']",0.0,17155.0,4.0,30.1,30.5,1429.8,1499.3,0.15274220826286541,0.07741000241604253,0.49055592990670444,0.5146213261057443
39,ESPORTSTMNT02/1650084,"['Gnar', 'Lillia', 'Anivia', 'Ashe', 'Alistar']",0,0.0,0.0,16844.0,-1280.0,-456.0,-46.0,4.0,9.0,3.0,"['Renekton', 'Nidalee', 'Yone', 'Miss Fortune', 'Morgana']",0.0,17300.0,4.0,25.1,29.7,1480.9,1608.9,0.15366030442135784,0.09697994684706451,0.47092356660520823,0.4919222332517685
40,ESPORTSTMNT03/1670723,"['Ornn', 'Graves', 'LeBlanc', 'KaiSa', 'Thresh']",0,1.0,0.0,17348.0,31.0,-427.0,-11.0,2.0,3.0,1.0,"['Volibear', 'KhaZix', 'Orianna', 'Miss Fortune', 'Leona']",0.0,17775.0,1.0,30.3,31.4,1512.6,1509.5,0.1866392848514134,0.13283401787871468,0.4910259698082064,0.509908963960462
41,ESPORTSTMNT02/1650105,"['Shen', 'Olaf', 'Syndra', 'KaiSa', 'Rakan']",0,0.0,0.0,18186.0,190.0,911.0,2.0,2.0,4.0,1.0,"['Camille', 'Elise', 'Ekko', 'Jhin', 'Alistar']",0.0,17275.0,3.0,31.2,31.0,1494.8,1475.8,0.18219376661029235,0.10417975356366274,0.49712704650362277,0.4842448910449577
42,ESPORTSTMNT03/1670731,"['Kled', 'Kayn', 'Riven', 'KaiSa', 'Thresh']",1,0.0,0.0,17672.0,-244.0,548.0,6.0,5.0,4.0,5.0,"['Camille', 'Lee Sin', 'Kassadin', 'Tristana', 'Leona']",0.0,17124.0,9.0,29.0,28.4,1633.5,1657.9,0.14102440202947572,0.13445276636868808,0.522835904045009,0.508525669903105
43,ESPORTSTMNT02/1650107,"['Aatrox', 'KhaZix', 'Syndra', 'Miss Fortune', 'Shen']",1,1.0,0.0,18812.0,-95.0,170.0,2.0,2.0,2.0,2.0,"['Camille', 'Lillia', 'Ekko', 'Jhin', 'Leona']",0.0,18642.0,2.0,32.8,32.6,1547.5,1557.0,0.0769992751872433,0.1297898043005557,0.4960832488611172,0.4857750711428806
44,ESPORTSTMNT02/1650114,"['Aatrox', 'Hecarim', 'Seraphine', 'Miss Fortune', 'Thresh']",1,0.0,0.0,18882.0,160.0,26.0,1.0,0.0,0.0,0.0,"['Shen', 'Lillia', 'Lucian', 'KaiSa', 'Leona']",0.0,18856.0,0.0,33.1,33.0,1480.8,1464.8,0.14643633727953612,0.20265764677458323,0.5053279792856363,0.49039107517269115
45,NA1/3739583938,"['Ornn', 'Lillia', 'Pantheon', 'Lucian', 'Gragas']",1,0.0,0.0,17049.0,-104.0,-145.0,-19.0,2.0,3.0,1.0,"['Volibear', 'Graves', 'Galio', 'Ashe', 'Taric']",0.0,17194.0,1.0,27.3,29.2,1462.9,1473.3,0.12834017878714665,0.09183377627446242,0.4863918877610378,0.46698512497025524
46,NA1/3739154532,"['Akali', 'Graves', 'Yone', 'KaiSa', 'Gragas']",1,0.0,0.0,18974.0,1528.0,2125.0,18.0,7.0,8.0,4.0,"['Camille', 'Ekko', 'LeBlanc', 'Samira', 'Alistar']",0.0,16849.0,6.0,28.1,26.3,1691.3,1538.5,0.18509301763711045,0.11183860835950714,0.4952729964011657,0.5023494897386536
47,NA1/3739424499,"['Malphite', 'Nidalee', 'Yone', 'Samira', 'Leona']",1,0.0,0.0,19432.0,2149.0,2726.0,24.0,7.0,5.0,4.0,"['Sylas', 'Graves', 'Orianna', 'Ezreal', 'Rakan']",0.0,16706.0,5.0,30.2,27.8,1750.0,1535.1,0.10280260932592414,0.1441652573085286,0.4856569998905454,0.5147380267194571
48,NA1/3739274584,"['Ornn', 'Graves', 'Syndra', 'Samira', 'Rell']",1,1.0,0.0,19685.0,3730.0,2215.0,58.0,7.0,9.0,2.0,"['Fiora', 'Hecarim', 'Viktor', 'Miss Fortune', 'Seraphine']",0.0,17470.0,1.0,33.2,27.4,1836.6,1463.6,0.13959893694129016,0.10816622372553757,0.4726992880382004,0.48889147425415713
49,NA1/3739474172,"['Poppy', 'Graves', 'Seraphine', 'Draven', 'Janna']",0,0.0,0.0,17765.0,-2269.0,-1870.0,-54.0,3.0,6.0,7.0,"['Aatrox', 'Karthus', 'Viktor', 'Samira', 'Alistar']",0.0,19635.0,13.0,28.4,33.8,1602.4,1829.3,0.05259724571152452,0.13515341870016911,0.5092648293840896,0.4992524104014657
50,NA1/3739454304,"['Volibear', 'Hecarim', 'Galio', 'Miss Fortune', 'Thresh']",1,1.0,0.0,19126.0,1156.0,677.0,40.0,3.0,3.0,2.0,"['Camille', 'Olaf', 'Orianna', 'Jhin', 'Seraphine']",0.0,18449.0,3.0,32.9,28.9,1639.3,1523.7,0.1569461222517516,0.14762019811548682,0.48923429606578067,0.5105273864928705
51,NA1/3739504187,"['Ornn', 'Olaf', 'Orianna', 'Samira', 'Galio']",1,0.0,0.0,18736.0,1323.0,112.0,12.0,2.0,4.0,1.0,"['ChoGath', 'Graves', 'Zoe', 'KaiSa', 'Leona']",0.0,18624.0,2.0,31.8,30.6,1598.3,1466.0,0.15153418700169122,0.18173471853104614,0.4999660472082203,0.4878093542987159
52,NA1/3739274626,"['Ornn', 'Lillia', 'Qiyana', 'KaiSa', 'Bard']",0,0.0,0.0,17589.0,-2436.0,-1337.0,-67.0,0.0,0.0,2.0,"['Camille', 'Graves', 'Twisted Fate', 'Aphelios', 'Thresh']",0.0,18926.0,1.0,25.4,32.1,1343.9,1587.5,0.15201739550616092,0.13616815655955544,0.480797294404877,0.5110202669560868
53,NA1/3739414489,"['Fiora', 'Pantheon', 'Galio', 'Jhin', 'Nami']",0,1.0,0.0,16855.0,-703.0,-848.0,-26.0,5.0,8.0,5.0,"['Akali', 'Jarvan IV', 'Vayne', 'Miss Fortune', 'Seraphine']",0.0,17703.0,11.0,25.4,28.0,1586.6,1656.9,0.06327615366030441,0.06682773616815656,0.486865470675648,0.49575182289651815
54,NA1/3739085266,"['Pantheon', 'Olaf', 'Syndra', 'Jinx', 'Thresh']",0,0.0,0.0,17029.0,-2808.0,-2369.0,-28.0,3.0,6.0,7.0,"['Aatrox', 'Taliyah', 'Lucian', 'Jhin', 'Nautilus']",0.0,19398.0,14.0,29.7,32.5,1526.5,1807.3,0.13865668035757428,0.11923169847789321,0.49328917872244943,0.4987003686822934
55,NA1/3739085268,"['Gragas', 'Graves', 'Syndra', 'Jhin', 'Galio']",1,0.0,0.0,19670.0,3121.0,2242.0,71.0,7.0,11.0,4.0,"['Ornn', 'Lillia', 'Zoe', 'Miss Fortune', 'Leona']",0.0,17428.0,7.0,34.4,27.3,1836.7,1524.6,0.14317467987436577,0.1303696545059193,0.47454462891191007,0.48123951637250195
56,NA1/3739125348,"['Volibear', 'Kindred', 'Karma', 'KaiSa', 'Gragas']",0,1.0,0.0,17900.0,-583.0,-661.0,-2.0,3.0,5.0,4.0,"['Renekton', 'Taliyah', 'Seraphine', 'Aphelios', 'Leona']",0.0,18561.0,5.0,30.9,31.1,1546.5,1604.8,0.18523798018845133,0.15138922445035036,0.467880576892754,0.5283634649349318
57,NA1/3739254924,"['Wukong', 'Graves', 'Karma', 'Samira', 'Leona']",1,1.0,0.0,18410.0,311.0,-332.0,19.0,0.0,0.0,0.0,"['Mordekaiser', 'Kindred', 'Pantheon', 'KaiSa', 'Galio']",0.0,18742.0,0.0,33.3,31.4,1484.8,1453.7,0.11899009422565836,0.14138680840782797,0.4804598705321622,0.4990879772955389
58,NA1/3739304793,"['Camille', 'Olaf', 'Syndra', 'KaiSa', 'Galio']",1,1.0,0.0,18271.0,41.0,-310.0,-43.0,3.0,7.0,0.0,"['Jax', 'Nidalee', 'Lucian', 'Vayne', 'Alistar']",0.0,18581.0,0.0,29.8,34.1,1556.0,1551.9,0.21106547475235565,0.1128050253684465,0.5093782795563447,0.4887204023424158
59,NA1/3739294661,"['Renekton', 'Taliyah', 'Akali', 'KaiSa', 'Nautilus']",1,0.0,0.0,18086.0,-1161.0,-358.0,20.0,0.0,0.0,3.0,"['Ornn', 'Graves', 'Zoe', 'Jhin', 'Galio']",0.0,18444.0,2.0,32.0,30.0,1428.7,1544.8,0.2068857211886929,0.11191108963517757,0.5258582431250959,0.47421597388103487
60,NA1/3739154751,"['Malphite', 'Kindred', 'Seraphine', 'Ashe', 'Galio']",0,0.0,0.0,16376.0,-2198.0,-2352.0,-45.0,2.0,3.0,4.0,"['Sylas', 'Graves', 'Orianna', 'KaiSa', 'Leona']",0.0,18728.0,5.0,27.9,32.4,1441.3,1661.1,0.07405170330997826,0.22703551582507853,0.4876938923049633,0.5091717115986153
61,NA1/3739274927,"['Ornn', 'Graves', 'Syndra', 'Samira', 'Alistar']",1,1.0,0.0,19515.0,1819.0,1935.0,61.0,3.0,2.0,1.0,"['Volibear', 'Elise', 'Renekton', 'Miss Fortune', 'Leona']",0.0,17580.0,1.0,33.8,27.7,1594.2,1412.3,0.14566320367238464,0.1288717081420633,0.4743179978484139,0.4818102094981839
62,NA1/3739394453,"['Poppy', 'Kindred', 'Syndra', 'KaiSa', 'Maokai']",0,1.0,0.0,15623.0,-452.0,-1206.0,-45.0,3.0,4.0,3.0,"['Mordekaiser', 'Graves', 'Akali', 'Miss Fortune', 'Leona']",0.0,16829.0,4.0,22.6,27.1,1450.5,1495.7,0.13411452041555932,0.10067649190625756,0.5062957823984141,0.48865690752543367
63,NA1/3739394472,"['Pantheon', 'Taliyah', 'Yone', 'KaiSa', 'Galio']",1,1.0,0.0,19773.0,6834.0,3866.0,55.0,12.0,22.0,0.0,"['Vladimir', 'Graves', 'Orianna', 'Samira', 'Nautilus']",0.0,15907.0,0.0,32.4,26.9,2022.8,1339.4,0.15655955544817587,0.13150519449142303,0.5223668153519045,0.4752078483177991
64,NA1/3739185150,"['Urgot', 'Lillia', 'Sylas', 'Samira', 'Galio']",1,0.0,0.0,18794.0,502.0,382.0,45.0,7.0,14.0,8.0,"['Shen', 'Hecarim', 'Viktor', 'Graves', 'Alistar']",0.0,18412.0,10.0,32.0,27.5,1783.2,1733.0,0.11355399855037449,0.15800918096158495,0.4926576606317251,0.4824233558981656
65,NA1/3739464588,"['Camille', 'Lillia', 'Zed', 'KaiSa', 'Rell']",1,0.0,0.0,17821.0,59.0,-699.0,-6.0,5.0,6.0,4.0,"['Kennen', 'Graves', 'Syndra', 'Samira', 'Nautilus']",0.0,18520.0,5.0,29.1,29.7,1618.4,1612.5,0.20362406378352257,0.11435129258274945,0.52275956846186,0.4847078296529662
66,NA1/3739125682,"['Pantheon', 'Lee Sin', 'LeBlanc', 'KaiSa', 'Seraphine']",0,1.0,0.0,14489.0,-1827.0,-2582.0,-45.0,2.0,3.0,3.0,"['Akali', 'Jarvan IV', 'Orianna', 'Miss Fortune', 'Karma']",0.0,17071.0,6.0,23.0,27.5,1375.7,1558.4,0.15626963034549407,0.10623338970765886,0.5293749193532019,0.48248614998777023
67,NA1/3739274973,"['Gangplank', 'Kindred', 'Ekko', 'Jhin', 'Leona']",0,0.0,0.0,15351.0,-3450.0,-2519.0,-39.0,2.0,3.0,7.0,"['Wukong', 'Lillia', 'Syndra', 'Miss Fortune', 'Seraphine']",0.0,17870.0,6.0,22.9,26.8,1349.7,1694.7,0.08837883546750422,0.11406136748006765,0.46303288878188986,0.49178494925106797
68,NA1/3739245218,"['Sion', 'Kayn', 'Syndra', 'Miss Fortune', 'Leona']",0,0.0,0.0,16714.0,-143.0,101.0,17.0,4.0,6.0,7.0,"['Camille', 'Olaf', 'Orianna', 'Jhin', 'Galio']",0.0,16613.0,7.0,27.5,25.8,1617.7,1632.0,0.10674075863735202,0.1574293307562213,0.4753158535381055,0.5085009858454959
69,NA1/3739085622,"['Aatrox', 'Graves', 'Viktor', 'Jhin', 'Galio']",1,1.0,0.0,19659.0,362.0,916.0,-1.0,2.0,2.0,2.0,"['Pantheon', 'Lillia', 'Gragas', 'KaiSa', 'Braum']",0.0,18743.0,4.0,33.7,33.8,1588.7,1552.5,0.13167431746798744,0.194008214544576,0.48323201866404447,0.4987584310820167
70,NA1/3739484923,"['Irelia', 'Graves', 'LeBlanc', 'KaiSa', 'Leona']",0,0.0,0.0,17760.0,-667.0,-1357.0,-26.0,6.0,7.0,6.0,"['Maokai', 'Hecarim', 'Sylas', 'Miss Fortune', 'Thresh']",0.0,19117.0,8.0,26.5,29.1,1625.4,1692.1,0.17562213094950468,0.12159942014979463,0.5019406140156752,0.5187459295135685
