gameId,blueChampions,blueWins,blueFirstBlood,blueFirstBloodAssist,blueTotalGold,blueTotalExperience,blueTotalCS,blueGoldDiff,blueExperienceDiff,blueCSDiff,blueKills,blueAssists,blueDeaths,redChampions,redFirstBloodAssist,redTotalGold,redTotalExperience,redTotalCS,redAssists
NA1/3735089630,"['Gragas', 'Graves', 'Anivia', 'Miss Fortune', 'Sett']",0,0.0,0.0,14510.0,17599.0,287.0,-1635.0,-1297.0,-27.0,2.0,1.0,3.0,"['Aatrox', 'Nidalee', 'Viktor', ""Kai'Sa"", 'Galio']",0.0,16145.0,18896.0,314.0,5.0
NA1/3737099991,"['Gangplank', 'Graves', 'Karma', ""Kai'Sa"", 'Leona']",1,1.0,0.0,16201.0,19878.0,340.0,109.0,2423.0,31.0,2.0,3.0,0.0,"['Lulu', 'Kindred', 'Twisted Fate', 'Aphelios', 'Braum']",0.0,16092.0,17455.0,309.0,0.0
NA1/3737120121,"['Aatrox', 'Olaf', 'Orianna', 'Vayne', 'Leona']",1,1.0,0.0,17168.0,18667.0,312.0,1185.0,755.0,14.0,6.0,8.0,4.0,"['Wukong', 'Hecarim', 'Ryze', ""Kai'Sa"", 'Alistar']",0.0,15983.0,17912.0,298.0,6.0
NA1/3737140122,"['Aatrox', 'Lillia', 'Viktor', ""Kai'Sa"", 'Maokai']",0,0.0,0.0,15896.0,18757.0,317.0,-490.0,207.0,-6.0,3.0,8.0,4.0,"['Ornn', 'Graves', 'Orianna', 'Aphelios', 'Leona']",0.0,16386.0,18550.0,323.0,5.0
NA1/3737169983,"['Akali', 'Graves', 'Anivia', 'Miss Fortune', 'Maokai']",1,0.0,0.0,15328.0,19630.0,363.0,58.0,1727.0,63.0,0.0,0.0,2.0,"['Sion', 'Kindred', 'Ekko', 'Jhin', 'Galio']",0.0,15270.0,17903.0,300.0,5.0
NA1/3737100387,"['Aatrox', ""Kha'Zix"", 'Viktor', 'Jhin', 'Pantheon']",1,1.0,0.0,16884.0,18955.0,318.0,2176.0,884.0,6.0,4.0,8.0,1.0,"['Irelia', 'Graves', 'Lissandra', ""Kai'Sa"", 'Alistar']",0.0,14708.0,18071.0,312.0,1.0
NA1/3737170412,"['Ornn', 'Graves', 'Orianna', ""Kai'Sa"", 'Leona']",0,1.0,0.0,16973.0,18412.0,297.0,887.0,-522.0,-36.0,6.0,7.0,3.0,"['Gragas', 'Lillia', 'Lucian', 'Miss Fortune', 'Galio']",0.0,16086.0,18934.0,333.0,5.0
NA1/3737120636,"['Aatrox', 'Olaf', 'Orianna', 'Jhin', 'Leona']",0,0.0,0.0,14534.0,18269.0,298.0,-1520.0,-230.0,-15.0,1.0,2.0,4.0,"['Darius', 'Graves', 'Syndra', ""Kai'Sa"", 'Morgana']",0.0,16054.0,18499.0,313.0,2.0
NA1/3737170792,"['Kayle', 'Olaf', 'Orianna', 'Jhin', 'Pantheon']",1,1.0,0.0,16961.0,20486.0,376.0,2324.0,3048.0,73.0,3.0,0.0,2.0,"['Sion', ""Kha'Zix"", 'Seraphine', 'Miss Fortune', 'Maokai']",0.0,14637.0,17438.0,303.0,2.0
NA1/3737121035,"['Ornn', 'Graves', 'Anivia', 'Lucian', 'Lulu']",0,0.0,0.0,14445.0,18131.0,292.0,-949.0,-636.0,-32.0,0.0,0.0,1.0,"['Renekton', 'Nidalee', 'Xerath', ""Kai'Sa"", 'Braum']",0.0,15394.0,18767.0,324.0,2.0
NA1/3737121483,"['Jax', 'Graves', 'Galio', ""Kai'Sa"", 'Rakan']",1,1.0,0.0,16670.0,20396.0,364.0,1748.0,1430.0,50.0,2.0,4.0,1.0,"['Ornn', 'Kindred', 'Seraphine', 'Aphelios', 'Braum']",0.0,14922.0,18966.0,314.0,1.0
NA1/3737122018,"['Ornn', 'Graves', 'Malphite', 'Senna', 'Braum']",0,1.0,0.0,15342.0,17582.0,277.0,690.0,1055.0,-25.0,3.0,4.0,1.0,"['Lucian', 'Lillia', 'Sylas', 'Jhin', 'Gragas']",0.0,14652.0,16527.0,302.0,1.0
NA1/3737122543,"['Vladimir', 'Graves', 'Yone', 'Miss Fortune', 'Shen']",1,0.0,0.0,15673.0,17680.0,313.0,-436.0,-107.0,10.0,3.0,6.0,3.0,"['Camille', 'Nidalee', 'Twisted Fate', 'Samira', 'Braum']",0.0,16109.0,17787.0,303.0,5.0
NA1/3737122937,"['Yone', 'Lee Sin', 'Zoe', 'Draven', 'Zilean']",1,0.0,0.0,15777.0,17634.0,268.0,-58.0,-518.0,-44.0,5.0,5.0,2.0,"['Renekton', 'Lillia', 'Irelia', 'Jhin', 'Gragas']",0.0,15835.0,18152.0,312.0,4.0
NA1/3737123325,"['Wukong', 'Hecarim', 'Akali', 'Miss Fortune', 'Galio']",1,0.0,0.0,16351.0,19279.0,340.0,1161.0,1673.0,56.0,3.0,5.0,1.0,"['Yone', 'Lee Sin', 'Twisted Fate', ""Kai'Sa"", 'Lulu']",0.0,15190.0,17606.0,284.0,1.0
6911-9185,"['Renekton', 'Sejuani', 'Syndra', 'Samira', 'Alistar']",1,0.0,0.0,14907.0,18445.0,349.0,-94.0,483.0,34.0,0.0,0.0,1.0,"['Volibear', 'Pantheon', 'Zoe', ""Kai'Sa"", 'Maokai']",0.0,15001.0,17962.0,315.0,4.0
6911-9186,"['Gragas', 'Graves', 'Syndra', 'Aphelios', 'Thresh']",0,1.0,0.0,15936.0,16251.0,260.0,774.0,-1444.0,-53.0,5.0,10.0,2.0,"['Irelia', 'Olaf', 'Orianna', ""Kai'Sa"", 'Sett']",0.0,15162.0,17695.0,313.0,5.0
6912-9187,"['Gnar', 'Nidalee', 'Orianna', 'Miss Fortune', 'Galio']",1,1.0,0.0,17259.0,18577.0,315.0,1748.0,482.0,-10.0,6.0,10.0,2.0,"['Renekton', 'Graves', 'Viktor', 'Jhin', 'Leona']",0.0,15511.0,18095.0,325.0,3.0
6912-9188,"['Gnar', 'Nidalee', 'Zoe', 'Jhin', 'Leona']",1,0.0,0.0,15990.0,17920.0,329.0,497.0,607.0,26.0,3.0,4.0,2.0,"['Wukong', 'Graves', 'Viktor', 'Miss Fortune', 'Maokai']",0.0,15493.0,17313.0,303.0,4.0
6913-9192,"['Ornn', 'Graves', 'Syndra', 'Xayah', 'Thresh']",1,1.0,0.0,15212.0,18846.0,325.0,-652.0,-86.0,-20.0,1.0,2.0,1.0,"['Kennen', 'Olaf', 'Twisted Fate', ""Kai'Sa"", 'Gragas']",0.0,15864.0,18932.0,345.0,1.0
6913-9193,"['Kennen', 'Graves', 'Syndra', 'Xayah', 'Thresh']",0,0.0,0.0,14938.0,17624.0,323.0,-3082.0,-1879.0,-24.0,1.0,2.0,5.0,"['Jayce', 'Olaf', 'Orianna', 'Jhin', 'Leona']",0.0,18020.0,19503.0,347.0,6.0
6913-9194,"['Kennen', 'Olaf', 'Syndra', ""Kai'Sa"", 'Shen']",0,0.0,0.0,15713.0,18839.0,330.0,-618.0,29.0,-11.0,2.0,4.0,2.0,"['Jayce', 'Graves', 'Twisted Fate', 'Jhin', 'Leona']",0.0,16331.0,18810.0,341.0,4.0
6914-9195,"['Aatrox', 'Olaf', 'LeBlanc', 'Jhin', 'Leona']",0,0.0,0.0,14770.0,18323.0,337.0,-919.0,-854.0,-10.0,0.0,0.0,1.0,"['Camille', 'Pantheon', 'Viktor', 'Miss Fortune', 'Gragas']",0.0,15689.0,19177.0,347.0,1.0
,"['Renekton', 'Taliyah', 'Jayce', 'Jhin', 'Leona']",0,0.0,0.0,16936.0,18912.0,343.0,2007.0,1649.0,40.0,1.0,1.0,2.0,"['Gragas', 'Lillia', 'Lucian', 'Xayah', 'Alistar']",0.0,14929.0,17263.0,303.0,3.0
ESPORTSTMNT03/1670713,"['Malphite', 'Elise', 'LeBlanc', ""Kai'Sa"", 'Thresh']",0,0.0,0.0,14298.0,17269.0,301.0,-695.0,114.0,-4.0,0.0,0.0,2.0,"['Kled', ""Kha'Zix"", 'Sylas', 'Miss Fortune', 'Leona']",0.0,14993.0,17155.0,305.0,4.0
ESPORTSTMNT02/1650084,"['Gnar', 'Lillia', 'Anivia', 'Ashe', 'Alistar']",0,0.0,0.0,14809.0,16844.0,251.0,-1280.0,-456.0,-46.0,4.0,9.0,3.0,"['Renekton', 'Nidalee', 'Yone', 'Miss Fortune', 'Morgana']",0.0,16089.0,17300.0,297.0,4.0
ESPORTSTMNT03/1670723,"['Ornn', 'Graves', 'LeBlanc', ""Kai'Sa"", 'Thresh']",0,1.0,0.0,15126.0,17348.0,303.0,31.0,-427.0,-11.0,2.0,3.0,1.0,"['Volibear', ""Kha'Zix"", 'Orianna', 'Miss Fortune', 'Leona']",0.0,15095.0,17775.0,314.0,1.0
ESPORTSTMNT02/1650105,"['Shen', 'Olaf', 'Syndra', ""Kai'Sa"", 'Rakan']",0,0.0,0.0,14948.0,18186.0,312.0,190.0,911.0,2.0,2.0,4.0,1.0,"['Camille', 'Elise', 'Ekko', 'Jhin', 'Alistar']",0.0,14758.0,17275.0,310.0,3.0
ESPORTSTMNT03/1670731,"['Kled', 'Kayn', 'Riven', ""Kai'Sa"", 'Thresh']",1,0.0,0.0,16335.0,17672.0,290.0,-244.0,548.0,6.0,5.0,4.0,5.0,"['Camille', 'Lee Sin', 'Kassadin', 'Tristana', 'Leona']",0.0,16579.0,17124.0,284.0,9.0
ESPORTSTMNT02/1650107,"['Aatrox', ""Kha'Zix"", 'Syndra', 'Miss Fortune', 'Shen']",1,1.0,0.0,15475.0,18812.0,328.0,-95.0,170.0,2.0,2.0,2.0,2.0,"['Camille', 'Lillia', 'Ekko', 'Jhin', 'Leona']",0.0,15570.0,18642.0,326.0,2.0
ESPORTSTMNT02/1650114,"['Aatrox', 'Hecarim', 'Seraphine', 'Miss Fortune', 'Thresh']",1,0.0,0.0,14808.0,18882.0,331.0,160.0,26.0,1.0,0.0,0.0,0.0,"['Shen', 'Lillia', 'Lucian', ""Kai'Sa"", 'Leona']",0.0,14648.0,18856.0,330.0,0.0
NA1/3739583938,"['Ornn', 'Lillia', 'Pantheon', 'Lucian', 'Gragas']",1,0.0,0.0,14629.0,17049.0,273.0,-104.0,-145.0,-19.0,2.0,3.0,1.0,"['Volibear', 'Graves', 'Galio', 'Ashe', 'Taric']",0.0,14733.0,17194.0,292.0,1.0
NA1/3739154532,"['Akali', 'Graves', 'Yone', ""Kai'Sa"", 'Gragas']",1,0.0,0.0,16913.0,18974.0,281.0,1528.0,2125.0,18.0,7.0,8.0,4.0,"['Camille', 'Ekko', 'LeBlanc', 'Samira', 'Alistar']",0.0,15385.0,16849.0,263.0,6.0
NA1/3739424499,"['Malphite', 'Nidalee', 'Yone', 'Samira', 'Leona']",1,0.0,0.0,17500.0,19432.0,302.0,2149.0,2726.0,24.0,7.0,5.0,4.0,"['Sylas', 'Graves', 'Orianna', 'Ezreal', 'Rakan']",0.0,15351.0,16706.0,278.0,5.0
NA1/3739274584,"['Ornn', 'Graves', 'Syndra', 'Samira', 'Rell']",1,1.0,0.0,18366.0,19685.0,332.0,3730.0,2215.0,58.0,7.0,9.0,2.0,"['Fiora', 'Hecarim', 'Viktor', 'Miss Fortune', 'Seraphine']",0.0,14636.0,17470.0,274.0,1.0
NA1/3739474172,"['Poppy', 'Graves', 'Seraphine', 'Draven', 'Janna']",0,0.0,0.0,16024.0,17765.0,284.0,-2269.0,-1870.0,-54.0,3.0,6.0,7.0,"['Aatrox', 'Karthus', 'Viktor', 'Samira', 'Alistar']",0.0,18293.0,19635.0,338.0,13.0
NA1/3739454304,"['Volibear', 'Hecarim', 'Galio', 'Miss Fortune', 'Thresh']",1,1.0,0.0,16393.0,19126.0,329.0,1156.0,677.0,40.0,3.0,3.0,2.0,"['Camille', 'Olaf', 'Orianna', 'Jhin', 'Seraphine']",0.0,15237.0,18449.0,289.0,3.0
NA1/3739504187,"['Ornn', 'Olaf', 'Orianna', 'Samira', 'Galio']",1,0.0,0.0,15983.0,18736.0,318.0,1323.0,112.0,12.0,2.0,4.0,1.0,"[""Cho'Gath"", 'Graves', 'Zoe', ""Kai'Sa"", 'Leona']",0.0,14660.0,18624.0,306.0,2.0
NA1/3739274626,"['Ornn', 'Lillia', 'Qiyana', ""Kai'Sa"", 'Bard']",0,0.0,0.0,13439.0,17589.0,254.0,-2436.0,-1337.0,-67.0,0.0,0.0,2.0,"['Camille', 'Graves', 'Twisted Fate', 'Aphelios', 'Thresh']",0.0,15875.0,18926.0,321.0,1.0
NA1/3739414489,"['Fiora', 'Pantheon', 'Galio', 'Jhin', 'Nami']",0,1.0,0.0,15866.0,16855.0,254.0,-703.0,-848.0,-26.0,5.0,8.0,5.0,"['Akali', 'Jarvan IV', 'Vayne', 'Miss Fortune', 'Seraphine']",0.0,16569.0,17703.0,280.0,11.0
NA1/3739085266,"['Pantheon', 'Olaf', 'Syndra', 'Jinx', 'Thresh']",0,0.0,0.0,15265.0,17029.0,297.0,-2808.0,-2369.0,-28.0,3.0,6.0,7.0,"['Aatrox', 'Taliyah', 'Lucian', 'Jhin', 'Nautilus']",0.0,18073.0,19398.0,325.0,14.0
NA1/3739085268,"['Gragas', 'Graves', 'Syndra', 'Jhin', 'Galio']",1,0.0,0.0,18367.0,19670.0,344.0,3121.0,2242.0,71.0,7.0,11.0,4.0,"['Ornn', 'Lillia', 'Zoe', 'Miss Fortune', 'Leona']",0.0,15246.0,17428.0,273.0,7.0
NA1/3739125348,"['Volibear', 'Kindred', 'Karma', ""Kai'Sa"", 'Gragas']",0,1.0,0.0,15465.0,17900.0,309.0,-583.0,-661.0,-2.0,3.0,5.0,4.0,"['Renekton', 'Taliyah', 'Seraphine', 'Aphelios', 'Leona']",0.0,16048.0,18561.0,311.0,5.0
NA1/3739254924,"['Wukong', 'Graves', 'Karma', 'Samira', 'Leona']",1,1.0,0.0,14848.0,18410.0,333.0,311.0,-332.0,19.0,0.0,0.0,0.0,"['Mordekaiser', 'Kindred', 'Pantheon', ""Kai'Sa"", 'Galio']",0.0,14537.0,18742.0,314.0,0.0
NA1/3739304793,"['Camille', 'Olaf', 'Syndra', ""Kai'Sa"", 'Galio']",1,1.0,0.0,15560.0,18271.0,298.0,41.0,-310.0,-43.0,3.0,7.0,0.0,"['Jax', 'Nidalee', 'Lucian', 'Vayne', 'Alistar']",0.0,15519.0,18581.0,341.0,0.0
NA1/3739294661,"['Renekton', 'Taliyah', 'Akali', ""Kai'Sa"", 'Nautilus']",1,0.0,0.0,14287.0,18086.0,320.0,-1161.0,-358.0,20.0,0.0,0.0,3.0,"['Ornn', 'Graves', 'Zoe', 'Jhin', 'Galio']",0.0,15448.0,18444.0,300.0,2.0
NA1/3739154751,"['Malphite', 'Kindred', 'Seraphine', 'Ashe', 'Galio']",0,0.0,0.0,14413.0,16376.0,279.0,-2198.0,-2352.0,-45.0,2.0,3.0,4.0,"['Sylas', 'Graves', 'Orianna', ""Kai'Sa"", 'Leona']",0.0,16611.0,18728.0,324.0,5.0
NA1/3739274927,"['Ornn', 'Graves', 'Syndra', 'Samira', 'Alistar']",1,1.0,0.0,15942.0,19515.0,338.0,1819.0,1935.0,61.0,3.0,2.0,1.0,"['Volibear', 'Elise', 'Renekton', 'Miss Fortune', 'Leona']",0.0,14123.0,17580.0,277.0,1.0
NA1/3739394453,"['Poppy', 'Kindred', 'Syndra', ""Kai'Sa"", 'Maokai']",0,1.0,0.0,14505.0,15623.0,226.0,-452.0,-1206.0,-45.0,3.0,4.0,3.0,"['Mordekaiser', 'Graves', 'Akali', 'Miss Fortune', 'Leona']",0.0,14957.0,16829.0,271.0,4.0
NA1/3739394472,"['Pantheon', 'Taliyah', 'Yone', ""Kai'Sa"", 'Galio']",1,1.0,0.0,20228.0,19773.0,324.0,6834.0,3866.0,55.0,12.0,22.0,0.0,"['Vladimir', 'Graves', 'Orianna', 'Samira', 'Nautilus']",0.0,13394.0,15907.0,269.0,0.0
NA1/3739185150,"['Urgot', 'Lillia', 'Sylas', 'Samira', 'Galio']",1,0.0,0.0,17832.0,18794.0,320.0,502.0,382.0,45.0,7.0,14.0,8.0,"['Shen', 'Hecarim', 'Viktor', 'Graves', 'Alistar']",0.0,17330.0,18412.0,275.0,10.0
NA1/3739464588,"['Camille', 'Lillia', 'Zed', ""Kai'Sa"", 'Rell']",1,0.0,0.0,16184.0,17821.0,291.0,59.0,-699.0,-6.0,5.0,6.0,4.0,"['Kennen', 'Graves', 'Syndra', 'Samira', 'Nautilus']",0.0,16125.0,18520.0,297.0,5.0
NA1/3739125682,"['Pantheon', 'Lee Sin', 'LeBlanc', ""Kai'Sa"", 'Seraphine']",0,1.0,0.0,13757.0,14489.0,230.0,-1827.0,-2582.0,-45.0,2.0,3.0,3.0,"['Akali', 'Jarvan IV', 'Orianna', 'Miss Fortune', 'Karma']",0.0,15584.0,17071.0,275.0,6.0
NA1/3739274973,"['Gangplank', 'Kindred', 'Ekko', 'Jhin', 'Leona']",0,0.0,0.0,13497.0,15351.0,229.0,-3450.0,-2519.0,-39.0,2.0,3.0,7.0,"['Wukong', 'Lillia', 'Syndra', 'Miss Fortune', 'Seraphine']",0.0,16947.0,17870.0,268.0,6.0
NA1/3739245218,"['Sion', 'Kayn', 'Syndra', 'Miss Fortune', 'Leona']",0,0.0,0.0,16177.0,16714.0,275.0,-143.0,101.0,17.0,4.0,6.0,7.0,"['Camille', 'Olaf', 'Orianna', 'Jhin', 'Galio']",0.0,16320.0,16613.0,258.0,7.0
NA1/3739085622,"['Aatrox', 'Graves', 'Viktor', 'Jhin', 'Galio']",1,1.0,0.0,15887.0,19659.0,337.0,362.0,916.0,-1.0,2.0,2.0,2.0,"['Pantheon', 'Lillia', 'Gragas', ""Kai'Sa"", 'Braum']",0.0,15525.0,18743.0,338.0,4.0
NA1/3739484923,"['Irelia', 'Graves', 'LeBlanc', ""Kai'Sa"", 'Leona']",0,0.0,0.0,16254.0,17760.0,265.0,-667.0,-1357.0,-26.0,6.0,7.0,6.0,"['Maokai', 'Hecarim', 'Sylas', 'Miss Fortune', 'Thresh']",0.0,16921.0,19117.0,291.0,8.0
NA1/3739425010,"['Sion', 'Olaf', 'Viktor', 'Samira', 'Alistar']",1,1.0,0.0,15510.0,18260.0,298.0,-552.0,54.0,-8.0,3.0,3.0,3.0,"['Gangplank', 'Kindred', 'Anivia', ""Kai'Sa"", 'Taric']",0.0,16062.0,18206.0,306.0,7.0
NA1/3739085685,"['Jax', 'Olaf', 'Rumble', ""Kai'Sa"", 'Alistar']",0,1.0,0.0,17456.0,17067.0,300.0,1096.0,-551.0,7.0,4.0,7.0,5.0,"['Camille', 'Hecarim', 'Lulu', 'Vayne', 'Leona']",0.0,16360.0,17618.0,293.0,9.0
NA1/3739245295,"['Darius', 'Jarvan IV', 'Syndra', 'Lucian', 'Thresh']",1,1.0,0.0,16244.0,18581.0,323.0,1097.0,502.0,31.0,4.0,4.0,3.0,"['Jax', 'Hecarim', 'Xerath', 'Jhin', 'Leona']",0.0,15147.0,18079.0,292.0,4.0
NA1/3739444750,"['Shen', 'Graves', 'Akali', 'Miss Fortune', 'Maokai']",0,0.0,0.0,14232.0,18286.0,286.0,-1890.0,-1096.0,-64.0,1.0,2.0,1.0,"['Vayne', 'Lillia', 'Lucian', 'Jhin', 'Galio']",0.0,16122.0,19382.0,350.0,0.0
NA1/3739185374,"['Rengar', 'Graves', 'Galio', 'Miss Fortune', 'Morgana']",0,0.0,0.0,13775.0,17288.0,272.0,-1947.0,-816.0,-49.0,1.0,3.0,2.0,"['Wukong', 'Gragas', 'Lucian', 'Jhin', 'Leona']",0.0,15722.0,18104.0,321.0,2.0
NA1/3739464872,"['Gragas', 'Graves', 'Azir', 'Miss Fortune', 'Maokai']",1,1.0,0.0,16344.0,18719.0,323.0,2713.0,1908.0,34.0,3.0,5.0,0.0,"['Camille', 'Kindred', 'Viktor', 'Ezreal', 'Galio']",0.0,13631.0,16811.0,289.0,0.0
NA1/3739425354,"['Aatrox', 'Lillia', 'Syndra', 'Miss Fortune', 'Galio']",1,1.0,0.0,18281.0,19778.0,310.0,4347.0,3001.0,52.0,9.0,11.0,1.0,"['Fiora', 'Rengar', 'Akali', ""Kai'Sa"", 'Bard']",0.0,13934.0,16777.0,258.0,1.0
NA1/3739425471,"['Camille', 'Graves', 'Syndra', 'Miss Fortune', 'Thresh']",1,1.0,0.0,16790.0,16830.0,288.0,2118.0,290.0,12.0,5.0,12.0,3.0,"['Renekton', 'Ezreal', 'Leona', 'Gragas', 'Orianna']",0.0,14672.0,16540.0,276.0,4.0
6915-9197,"['Gragas', 'Olaf', 'Orianna', ""Kai'Sa"", 'Sett']",1,1.0,0.0,16232.0,20036.0,373.0,-203.0,317.0,18.0,1.0,1.0,2.0,"['Renekton', 'Graves', 'Galio', 'Aphelios', 'Thresh']",0.0,16435.0,19719.0,355.0,7.0
6915-9198,"['Camille', 'Graves', 'Twisted Fate', ""Kai'Sa"", 'Sett']",1,1.0,0.0,16287.0,18306.0,334.0,1454.0,620.0,26.0,2.0,4.0,1.0,"['Jax', 'Nidalee', 'Viktor', 'Jhin', 'Alistar']",0.0,14833.0,17686.0,308.0,1.0
6916-9199,"['Aatrox', 'Nidalee', 'Zoe', 'Jhin', 'Galio']",0,0.0,0.0,15865.0,18030.0,338.0,-394.0,-356.0,-1.0,1.0,3.0,2.0,"['Ornn', 'Graves', 'Viktor', ""Kai'Sa"", 'Alistar']",0.0,16259.0,18386.0,339.0,6.0
6916-9200,"['Renekton', 'Nidalee', 'Jayce', 'Aphelios', 'Thresh']",1,0.0,0.0,16754.0,18044.0,319.0,-872.0,-378.0,-35.0,2.0,4.0,3.0,"['Kennen', 'Graves', 'Zoe', ""Kai'Sa"", 'Sett']",0.0,17626.0,18422.0,354.0,8.0
6916-9201,"['Gnar', 'Nidalee', 'Twisted Fate', ""Kai'Sa"", 'Leona']",1,1.0,0.0,15992.0,18483.0,328.0,1208.0,269.0,-13.0,2.0,2.0,0.0,"['Jayce', 'Graves', 'Viktor', 'Jhin', 'Alistar']",0.0,14784.0,18214.0,341.0,0.0
ESPORTSTMNT03/1681044,"['Yorick', 'Graves', 'Ekko', ""Kai'Sa"", 'Braum']",1,1.0,0.0,15027.0,19288.0,342.0,549.0,376.0,33.0,0.0,0.0,0.0,"['Ornn', ""Kha'Zix"", 'Ziggs', 'Miss Fortune', 'Seraphine']",0.0,14478.0,18912.0,309.0,0.0
ESPORTSTMNT02/1640112,"['Camille', 'Pantheon', 'Karma', 'Miss Fortune', 'Galio']",0,1.0,0.0,15058.0,17657.0,325.0,236.0,-18.0,24.0,1.0,1.0,1.0,"['Poppy', 'Graves', 'Orianna', ""Kai'Sa"", 'Alistar']",0.0,14822.0,17675.0,301.0,1.0
ESPORTSTMNT03/1681063,"['Kennen', 'Graves', 'Viktor', 'Samira', 'Leona']",1,1.0,0.0,16686.0,18987.0,337.0,2227.0,-166.0,10.0,3.0,5.0,0.0,"['Ornn', 'Karthus', 'Lucian', ""Kai'Sa"", 'Gragas']",0.0,14459.0,19153.0,327.0,0.0
