champions
"[(1, 100, 111, 'DUO_SUPPORT', 'BOTTOM'), (2, 100, 91, 'SOLO', 'MIDDLE'), (3, 100, 236, 'DUO_CARRY', 'BOTTOM'), (4, 100, 76, 'NONE', 'JUNGLE'), (5, 100, 54, 'SOLO', 'TOP'), (6, 200, 26, 'DUO_CARRY', 'BOTTOM'), (7, 200, 235, 'DUO_SUPPORT', 'BOTTOM'), (8, 200, 82, 'SOLO', 'TOP'), (9, 200, 421, 'NONE', 'JUNGLE'), (10, 200, 69, 'SOLO', 'MIDDLE')]"
"[(1, 100, 235, 'DUO_SUPPORT', 'BOTTOM'), (2, 100, 157, 'SOLO', 'MIDDLE'), (3, 100, 516, 'SOLO', 'TOP'), (4, 100, 76, 'NONE', 'JUNGLE'), (5, 100, 523, 'DUO_CARRY', 'BOTTOM'), (6, 200, 134, 'DUO_CARRY', 'BOTTOM'), (7, 200, 99, 'DUO_SUPPORT', 'BOTTOM'), (8, 200, 517, 'DUO', 'TOP'), (9, 200, 164, 'DUO', 'TOP'), (10, 200, 60, 'NONE', 'JUNGLE')]"
"[(1, 100, 201, 'DUO_SUPPORT', 'BOTTOM'), (2, 100, 64, 'NONE', 'JUNGLE'), (3, 100, 80, 'SOLO', 'TOP'), (4, 100, 81, 'DUO_CARRY', 'BOTTOM'), (5, 100, 4, 'SOLO', 'MIDDLE'), (6, 200, 497, 'DUO_SUPPORT', 'BOTTOM'), (7, 200, 154, 'NONE', 'JUNGLE'), (8, 200, 18, 'DUO_CARRY', 'BOTTOM'), (9, 200, 126, 'SOLO', 'TOP'), (10, 200, 134, 'SOLO', 'MIDDLE')]"
"[(1, 100, 11, 'DUO_SUPPORT', 'NONE'), (2, 100, 555, 'DUO_SUPPORT', 'NONE'), (3, 100, 18, 'DUO_SUPPORT', 'NONE'), (4, 100, 14, 'DUO_SUPPORT', 'NONE'), (5, 100, 161, 'DUO_SUPPORT', 'NONE'), (6, 200, 24, 'DUO_SUPPORT', 'NONE'), (7, 200, 29, 'DUO_SUPPORT', 'NONE'), (8, 200, 3, 'DUO_SUPPORT', 'NONE'), (9, 200, 267, 'DUO_SUPPORT', 'NONE'), (10, 200, 67, 'DUO_SUPPORT', 'NONE')]"
"[(1, 100, 875, 'SOLO', 'MIDDLE'), (2, 100, 131, 'NONE', 'JUNGLE'), (3, 100, 266, 'SOLO', 'TOP'), (4, 100, 412, 'DUO_SUPPORT', 'BOTTOM'), (5, 100, 145, 'DUO_CARRY', 'BOTTOM'), (6, 200, 518, 'SOLO', 'MIDDLE'), (7, 200, 25, 'DUO_SUPPORT', 'BOTTOM'), (8, 200, 110, 'DUO_CARRY', 'BOTTOM'), (9, 200, 39, 'SOLO', 'TOP'), (10, 200, 19, 'NONE', 'JUNGLE')]"
"[(1, 100, 412, 'DUO_SUPPORT', 'BOTTOM'), (2, 100, 79, 'NONE', 'JUNGLE'), (3, 100, 157, 'SOLO', 'MIDDLE'), (4, 100, 145, 'DUO_CARRY', 'BOTTOM'), (5, 100, 114, 'SOLO', 'TOP'), (6, 200, 245, 'NONE', 'JUNGLE'), (7, 200, 201, 'DUO_SUPPORT', 'BOTTOM'), (8, 200, 105, 'SOLO', 'MIDDLE'), (9, 200, 41, 'SOLO', 'TOP'), (10, 200, 21, 'DUO_CARRY', 'BOTTOM')]"
"[(1, 100, 134, 'DUO', 'MIDDLE'), (2, 100, 516, 'SOLO', 'TOP'), (3, 100, 421, 'NONE', 'JUNGLE'), (4, 100, 110, 'DUO', 'MIDDLE'), (5, 100, 412, 'DUO_SUPPORT', 'MIDDLE'), (6, 200, 69, 'SOLO', 'MIDDLE'), (7, 200, 59, 'NONE', 'JUNGLE'), (8, 200, 57, 'DUO_CARRY', 'BOTTOM'), (9, 200, 18, 'SOLO', 'TOP'), (10, 200, 235, 'DUO_SUPPORT', 'BOTTOM')]"
"[(1, 100, 420, 'SOLO', 'TOP'), (2, 100, 81, 'DUO_CARRY', 'BOTTOM'), (3, 100, 20, 'NONE', 'JUNGLE'), (4, 100, 350, 'DUO_SUPPORT', 'BOTTOM'), (5, 100, 131, 'SOLO', 'MIDDLE'), (6, 200, 40, 'DUO_SUPPORT', 'BOTTOM'), (7, 200, 266, 'DUO', 'MIDDLE'), (8, 200, 145, 'DUO_CARRY', 'BOTTOM'), (9, 200, 91, 'DUO', 'MIDDLE'), (10, 200, 35, 'NONE', 'JUNGLE')]"
"[(1, 100, 121, 'SOLO', 'TOP'), (2, 100, 223, 'DUO', 'MIDDLE'), (3, 100, 427, 'NONE', 'JUNGLE'), (4, 100, 235, 'DUO_SUPPORT', 'MIDDLE'), (5, 100, 245, 'DUO', 'MIDDLE'), (6, 200, 81, 'DUO_CARRY', 'BOTTOM'), (7, 200, 27, 'SOLO', 'TOP'), (8, 200, 68, 'SOLO', 'MIDDLE'), (9, 200, 497, 'DUO_SUPPORT', 'BOTTOM'), (10, 200, 64, 'NONE', 'JUNGLE')]"
"[(1, 100, 92, 'DUO_SUPPORT', 'NONE'), (2, 100, 84, 'DUO', 'NONE'), (3, 100, 107, 'DUO_SUPPORT', 'NONE'), (4, 100, 16, 'DUO_SUPPORT', 'NONE'), (5, 100, 523, 'DUO', 'NONE'), (6, 200, 267, 'DUO_SUPPORT', 'NONE'), (7, 200, 85, 'DUO_SUPPORT', 'NONE'), (8, 200, 64, 'DUO_SUPPORT', 'NONE'), (9, 200, 81, 'DUO_SUPPORT', 'NONE'), (10, 200, 157, 'DUO_SUPPORT', 'NONE')]"
"[(1, 100, 99, 'DUO_SUPPORT', 'BOTTOM'), (2, 100, 20, 'NONE', 'JUNGLE'), (3, 100, 238, 'DUO', 'TOP'), (4, 100, 115, 'DUO_CARRY', 'BOTTOM'), (5, 100, 157, 'DUO', 'TOP'), (6, 200, 21, 'DUO_CARRY', 'BOTTOM'), (7, 200, 8, 'SOLO', 'MIDDLE'), (8, 200, 875, 'SOLO', 'TOP'), (9, 200, 33, 'NONE', 'JUNGLE'), (10, 200, 117, 'DUO_SUPPORT', 'BOTTOM')]"
"[(1, 100, 154, 'NONE', 'JUNGLE'), (2, 100, 55, 'SOLO', 'MIDDLE'), (3, 100, 202, 'DUO_CARRY', 'BOTTOM'), (4, 100, 78, 'SOLO', 'TOP'), (5, 100, 43, 'DUO_SUPPORT', 'BOTTOM'), (6, 200, 69, 'SOLO', 'MIDDLE'), (7, 200, 59, 'NONE', 'JUNGLE'), (8, 200, 48, 'SOLO', 'TOP'), (9, 200, 235, 'DUO_SUPPORT', 'BOTTOM'), (10, 200, 31, 'DUO_CARRY', 'BOTTOM')]"
"[(1, 100, 236, 'SOLO', 'MIDDLE'), (2, 100, 429, 'DUO_CARRY', 'BOTTOM'), (3, 100, 10, 'SOLO', 'TOP'), (4, 100, 102, 'NONE', 'JUNGLE'), (5, 100, 44, 'DUO_SUPPORT', 'BOTTOM'), (6, 200, 53, 'SOLO', 'BOTTOM'), (7, 200, 103, 'SOLO', 'MIDDLE'), (8, 200, 107, 'NONE', 'JUNGLE'), (9, 200, 39, 'SOLO', 'TOP'), (10, 200, 104, 'NONE', 'JUNGLE')]"
"[(1, 100, 143, 'DUO_SUPPORT', 'BOTTOM'), (2, 100, 2, 'NONE', 'JUNGLE'), (3, 100, 236, 'DUO_CARRY', 'BOTTOM'), (4, 100, 38, 'SOLO', 'MIDDLE'), (5, 100, 92, 'SOLO', 'TOP'), (6, 200, 240, 'SOLO', 'TOP'), (7, 200, 134, 'SOLO', 'MIDDLE'), (8, 200, 99, 'DUO_SUPPORT', 'BOTTOM'), (9, 200, 22, 'DUO_CARRY', 'BOTTOM'), (10, 200, 9, 'NONE', 'JUNGLE')]"
"[(1, 100, 145, 'DUO_CARRY', 'BOTTOM'), (2, 100, 62, 'NONE', 'JUNGLE'), (3, 100, 432, 'DUO_SUPPORT', 'BOTTOM'), (4, 100, 7, 'DUO', 'TOP'), (5, 100, 240, 'DUO', 'TOP'), (6, 200, 40, 'DUO_SUPPORT', 'BOTTOM'), (7, 200, 131, 'DUO_CARRY', 'BOTTOM'), (8, 200, 64, 'NONE', 'JUNGLE'), (9, 200, 246, 'SOLO', 'MIDDLE'), (10, 200, 82, 'SOLO', 'TOP')]"
"[(1, 100, 24, 'SOLO', 'TOP'), (2, 100, 33, 'NONE', 'JUNGLE'), (3, 100, 12, 'DUO_SUPPORT', 'BOTTOM'), (4, 100, 429, 'DUO_CARRY', 'BOTTOM'), (5, 100, 68, 'SOLO', 'MIDDLE'), (6, 200, 40, 'DUO_SUPPORT', 'BOTTOM'), (7, 200, 81, 'DUO_CARRY', 'BOTTOM'), (8, 200, 78, 'SOLO', 'TOP'), (9, 200, 246, 'SOLO', 'MIDDLE'), (10, 200, 60, 'NONE', 'JUNGLE')]"
"[(1, 100, 78, 'SOLO', 'TOP'), (2, 100, 131, 'SOLO', 'MIDDLE'), (3, 100, 119, 'DUO_CARRY', 'BOTTOM'), (4, 100, 64, 'NONE', 'JUNGLE'), (5, 100, 89, 'DUO_SUPPORT', 'BOTTOM'), (6, 200, 203, 'NONE', 'JUNGLE'), (7, 200, 236, 'DUO_CARRY', 'BOTTOM'), (8, 200, 114, 'SOLO', 'TOP'), (9, 200, 38, 'SOLO', 'MIDDLE'), (10, 200, 350, 'DUO_SUPPORT', 'BOTTOM')]"
"[(1, 100, 7, 'DUO_CARRY', 'MIDDLE'), (2, 100, 111, 'DUO_SUPPORT', 'MIDDLE'), (3, 100, 429, 'SOLO', 'BOTTOM'), (4, 100, 164, 'SOLO', 'TOP'), (5, 100, 104, 'NONE', 'JUNGLE'), (6, 200, 134, 'SOLO', 'MIDDLE'), (7, 200, 45, 'DUO_CARRY', 'BOTTOM'), (8, 200, 62, 'SOLO', 'TOP'), (9, 200, 72, 'NONE', 'JUNGLE'), (10, 200, 25, 'DUO_SUPPORT', 'BOTTOM')]"
"[(1, 100, 83, 'DUO', 'MIDDLE'), (2, 100, 131, 'DUO', 'MIDDLE'), (3, 100, 145, 'DUO_CARRY', 'BOTTOM'), (4, 100, 62, 'NONE', 'JUNGLE'), (5, 100, 412, 'DUO_SUPPORT', 'BOTTOM'), (6, 200, 69, 'SOLO', 'MIDDLE'), (7, 200, 53, 'DUO_SUPPORT', 'BOTTOM'), (8, 200, 236, 'DUO_CARRY', 'BOTTOM'), (9, 200, 98, 'SOLO', 'TOP'), (10, 200, 121, 'NONE', 'JUNGLE')]"
"[(1, 100, 131, 'SOLO', 'MIDDLE'), (2, 100, 412, 'SOLO', 'BOTTOM'), (3, 100, 69, 'SOLO', 'TOP'), (4, 100, 429, 'NONE', 'JUNGLE'), (5, 100, 113, 'NONE', 'JUNGLE'), (6, 200, 14, 'SOLO', 'TOP'), (7, 200, 136, 'SOLO', 'MIDDLE'), (8, 200, 154, 'NONE', 'JUNGLE'), (9, 200, 523, 'DUO_CARRY', 'BOTTOM'), (10, 200, 53, 'DUO_SUPPORT', 'BOTTOM')]"
"[(1, 100, 238, 'SOLO', 'MIDDLE'), (2, 100, 518, 'SOLO', 'TOP'), (3, 100, 15, 'DUO_CARRY', 'BOTTOM'), (4, 100, 40, 'DUO_SUPPORT', 'BOTTOM'), (5, 100, 60, 'NONE', 'JUNGLE'), (6, 200, 89, 'DUO_SUPPORT', 'BOTTOM'), (7, 200, 110, 'DUO_CARRY', 'BOTTOM'), (8, 200, 10, 'SOLO', 'TOP'), (9, 200, 141, 'NONE', 'JUNGLE'), (10, 200, 157, 'SOLO', 'MIDDLE')]"
"[(1, 100, 516, 'DUO', 'TOP'), (2, 100, 134, 'DUO', 'TOP'), (3, 100, 222, 'DUO_CARRY', 'BOTTOM'), (4, 100, 53, 'DUO_SUPPORT', 'BOTTOM'), (5, 100, 20, 'NONE', 'JUNGLE'), (6, 200, 60, 'NONE', 'JUNGLE'), (7, 200, 18, 'DUO_CARRY', 'BOTTOM'), (8, 200, 350, 'DUO_SUPPORT', 'BOTTOM'), (9, 200, 157, 'SOLO', 'MIDDLE'), (10, 200, 86, 'SOLO', 'TOP')]"
"[(1, 100, 238, 'SOLO', 'MIDDLE'), (2, 100, 163, 'NONE', 'JUNGLE'), (3, 100, 54, 'SOLO', 'TOP'), (4, 100, 235, 'DUO_SUPPORT', 'BOTTOM'), (5, 100, 223, 'DUO_CARRY', 'BOTTOM'), (6, 200, 14, 'SOLO', 'TOP'), (7, 200, 115, 'DUO_SUPPORT', 'BOTTOM'), (8, 200, 68, 'SOLO', 'MIDDLE'), (9, 200, 104, 'NONE', 'JUNGLE'), (10, 200, 523, 'DUO_CARRY', 'BOTTOM')]"
"[(1, 100, 523, 'DUO_CARRY', 'BOTTOM'), (2, 100, 8, 'SOLO', 'MIDDLE'), (3, 100, 245, 'NONE', 'JUNGLE'), (4, 100, 122, 'NONE', 'JUNGLE'), (5, 100, 412, 'DUO_SUPPORT', 'BOTTOM'), (6, 200, 119, 'DUO_CARRY', 'BOTTOM'), (7, 200, 79, 'DUO_SUPPORT', 'BOTTOM'), (8, 200, 64, 'NONE', 'JUNGLE'), (9, 200, 164, 'SOLO', 'TOP'), (10, 200, 55, 'SOLO', 'MIDDLE')]"
"[(1, 100, 51, 'DUO_CARRY', 'BOTTOM'), (2, 100, 79, 'NONE', 'JUNGLE'), (3, 100, 432, 'DUO_SUPPORT', 'BOTTOM'), (4, 100, 157, 'SOLO', 'MIDDLE'), (5, 100, 875, 'SOLO', 'TOP'), (6, 200, 121, 'NONE', 'JUNGLE'), (7, 200, 134, 'SOLO', 'BOTTOM'), (8, 200, 38, 'DUO', 'MIDDLE'), (9, 200, 429, 'DUO', 'MIDDLE'), (10, 200, 412, 'SOLO', 'TOP')]"
"[(1, 100, 62, 'SOLO', 'TOP'), (2, 100, 498, 'DUO_CARRY', 'BOTTOM'), (3, 100, 142, 'SOLO', 'MIDDLE'), (4, 100, 25, 'DUO_SUPPORT', 'BOTTOM'), (5, 100, 245, 'NONE', 'JUNGLE'), (6, 200, 68, 'SOLO', 'TOP'), (7, 200, 497, 'DUO_SUPPORT', 'BOTTOM'), (8, 200, 64, 'NONE', 'JUNGLE'), (9, 200, 81, 'DUO_CARRY', 'BOTTOM'), (10, 200, 38, 'SOLO', 'MIDDLE')]"
"[(1, 100, 27, 'SOLO', 'TOP'), (2, 100, 72, 'NONE', 'JUNGLE'), (3, 100, 523, 'DUO_CARRY', 'BOTTOM'), (4, 100, 131, 'SOLO', 'MIDDLE'), (5, 100, 26, 'DUO_SUPPORT', 'BOTTOM'), (6, 200, 107, 'NONE', 'JUNGLE'), (7, 200, 110, 'DUO_CARRY', 'BOTTOM'), (8, 200, 555, 'DUO_SUPPORT', 'BOTTOM'), (9, 200, 517, 'SOLO', 'TOP'), (10, 200, 8, 'SOLO', 'MIDDLE')]"
"[(1, 100, 114, 'SOLO', 'TOP'), (2, 100, 134, 'SOLO', 'MIDDLE'), (3, 100, 429, 'DUO_CARRY', 'BOTTOM'), (4, 100, 64, 'NONE', 'JUNGLE'), (5, 100, 17, 'DUO_SUPPORT', 'BOTTOM'), (6, 200, 81, 'DUO_CARRY', 'BOTTOM'), (7, 200, 268, 'DUO', 'TOP'), (8, 200, 85, 'DUO', 'TOP'), (9, 200, 2, 'NONE', 'JUNGLE'), (10, 200, 432, 'DUO_SUPPORT', 'BOTTOM')]"
"[(1, 100, 44, 'DUO', 'BOTTOM'), (2, 100, 56, 'NONE', 'JUNGLE'), (3, 100, 517, 'SOLO', 'TOP'), (4, 100, 131, 'SOLO', 'MIDDLE'), (5, 100, 21, 'DUO', 'BOTTOM'), (6, 200, 64, 'NONE', 'JUNGLE'), (7, 200, 875, 'SOLO', 'BOTTOM'), (8, 200, 82, 'DUO', 'TOP'), (9, 200, 119, 'DUO', 'TOP'), (10, 200, 245, 'SOLO', 'MIDDLE')]"
"[(1, 100, 161, 'SOLO', 'MIDDLE'), (2, 100, 235, 'DUO_SUPPORT', 'BOTTOM'), (3, 100, 112, 'SOLO', 'TOP'), (4, 100, 202, 'DUO_CARRY', 'BOTTOM'), (5, 100, 20, 'NONE', 'JUNGLE'), (6, 200, 432, 'DUO_SUPPORT', 'BOTTOM'), (7, 200, 55, 'SOLO', 'MIDDLE'), (8, 200, 107, 'NONE', 'JUNGLE'), (9, 200, 236, 'DUO_CARRY', 'BOTTOM'), (10, 200, 122, 'SOLO', 'TOP')]"
"[(1, 100, 121, 'NONE', 'JUNGLE'), (2, 100, 350, 'DUO_SUPPORT', 'MIDDLE'), (3, 100, 142, 'DUO', 'MIDDLE'), (4, 100, 429, 'DUO', 'MIDDLE'), (5, 100, 17, 'SOLO', 'TOP'), (6, 200, 81, 'DUO', 'TOP'), (7, 200, 29, 'NONE', 'JUNGLE'), (8, 200, 518, 'SOLO', 'MIDDLE'), (9, 200, 516, 'DUO', 'TOP'), (10, 200, 432, 'DUO_SUPPORT', 'TOP')]"
"[(1, 100, 131, 'DUO_SUPPORT', 'NONE'), (2, 100, 24, 'DUO_SUPPORT', 'NONE'), (3, 100, 107, 'DUO_SUPPORT', 'NONE'), (4, 100, 74, 'DUO_SUPPORT', 'NONE'), (5, 100, 432, 'DUO_SUPPORT', 'NONE'), (6, 200, 43, 'DUO_SUPPORT', 'NONE'), (7, 200, 246, 'DUO_SUPPORT', 'NONE'), (8, 200, 60, 'DUO_SUPPORT', 'NONE'), (9, 200, 145, 'DUO_SUPPORT', 'NONE'), (10, 200, 8, 'DUO_SUPPORT', 'NONE')]"
"[(1, 100, 429, 'DUO_CARRY', 'TOP'), (2, 100, 60, 'DUO_SUPPORT', 'TOP'), (3, 100, 55, 'SOLO', 'MIDDLE'), (4, 100, 21, 'DUO_CARRY', 'BOTTOM'), (5, 100, 37, 'DUO_SUPPORT', 'BOTTOM'), (6, 200, 35, 'NONE', 'JUNGLE'), (7, 200, 523, 'DUO_CARRY', 'BOTTOM'), (8, 200, 412, 'DUO_SUPPORT', 'BOTTOM'), (9, 200, 10, 'SOLO', 'TOP'), (10, 200, 58, 'SOLO', 'MIDDLE')]"
"[(1, 100, 117, 'DUO_SUPPORT', 'BOTTOM'), (2, 100, 96, 'DUO_CARRY', 'BOTTOM'), (3, 100, 16, 'NONE', 'JUNGLE'), (4, 100, 61, 'SOLO', 'MIDDLE'), (5, 100, 39, 'SOLO', 'TOP'), (6, 200, 32, 'NONE', 'JUNGLE'), (7, 200, 74, 'DUO_CARRY', 'BOTTOM'), (8, 200, 89, 'DUO_SUPPORT', 'BOTTOM'), (9, 200, 41, 'SOLO', 'TOP'), (10, 200, 4, 'SOLO', 'MIDDLE')]"
"[(1, 100, 18, 'DUO_CARRY', 'BOTTOM'), (2, 100, 62, 'SOLO', 'TOP'), (3, 100, 63, 'DUO_SUPPORT', 'BOTTOM'), (4, 100, 127, 'SOLO', 'MIDDLE'), (5, 100, 60, 'NONE', 'JUNGLE'), (6, 200, 432, 'DUO_SUPPORT', 'BOTTOM'), (7, 200, 8, 'SOLO', 'MIDDLE'), (8, 200, 121, 'NONE', 'JUNGLE'), (9, 200, 81, 'DUO_CARRY', 'BOTTOM'), (10, 200, 516, 'SOLO', 'TOP')]"
"[(1, 100, 105, 'NONE', 'JUNGLE'), (2, 100, 10, 'SOLO', 'MIDDLE'), (3, 100, 16, 'DUO_SUPPORT', 'BOTTOM'), (4, 100, 98, 'SOLO', 'TOP'), (5, 100, 67, 'DUO_CARRY', 'BOTTOM'), (6, 200, 59, 'NONE', 'JUNGLE'), (7, 200, 164, 'SOLO', 'TOP'), (8, 200, 412, 'DUO_SUPPORT', 'BOTTOM'), (9, 200, 45, 'SOLO', 'MIDDLE'), (10, 200, 429, 'DUO_CARRY', 'BOTTOM')]"
"[(1, 100, 875, 'DUO_SUPPORT', 'NONE'), (2, 100, 246, 'DUO_SUPPORT', 'NONE'), (3, 100, 236, 'DUO_SUPPORT', 'NONE'), (4, 100, 245, 'DUO_SUPPORT', 'NONE'), (5, 100, 201, 'DUO_SUPPORT', 'NONE'), (6, 200, 112, 'DUO', 'NONE'), (7, 200, 145, 'DUO_SUPPORT', 'NONE'), (8, 200, 267, 'DUO_SUPPORT', 'NONE'), (9, 200, 421, 'DUO_SUPPORT', 'NONE'), (10, 200, 114, 'DUO_SUPPORT', 'NONE')]"
"[(1, 100, 64, 'DUO_SUPPORT', 'NONE'), (2, 100, 120, 'DUO_SUPPORT', 'NONE'), (3, 100, 101, 'DUO_SUPPORT', 'NONE'), (4, 100, 3, 'DUO_SUPPORT', 'NONE'), (5, 100, 523, 'DUO_SUPPORT', 'NONE'), (6, 200, 236, 'DUO', 'NONE'), (7, 200, 245, 'DUO_SUPPORT', 'NONE'), (8, 200, 40, 'DUO_SUPPORT', 'NONE'), (9, 200, 133, 'DUO_SUPPORT', 'NONE'), (10, 200, 21, 'DUO_SUPPORT', 'NONE')]"
"[(1, 100, 90, 'SOLO', 'MIDDLE'), (2, 100, 235, 'DUO_SUPPORT', 'BOTTOM'), (3, 100, 48, 'DUO_CARRY', 'BOTTOM'), (4, 100, 79, 'NONE', 'JUNGLE'), (5, 100, 114, 'NONE', 'JUNGLE'), (6, 200, 497, 'DUO_SUPPORT', 'BOTTOM'), (7, 200, 516, 'SOLO', 'TOP'), (8, 200, 268, 'SOLO', 'MIDDLE'), (9, 200, 51, 'DUO_CARRY', 'BOTTOM'), (10, 200, 121, 'NONE', 'JUNGLE')]"
